Class Accuracy,Bitwise Accuracy,Class Recall,Class Precision,Class F1,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Training,Model
0.9197736351531292,0.9806507989347537,0.7601517601861606,0.8834545345440401,0.8476397209377127,0.970135416081362,0.990477010010613,0.9802006897824205,0.11609520639147802,1.4470954356846473,Base,MC
0.9672103861517976,0.9930648024855748,0.9209651519392611,0.789043916107228,0.8886402525909977,0.9923582626285329,0.9935864978902954,0.992972000449792,0.04161118508655127,1.2690355329949239,Base,ML
0.8805758988015979,0.9633266755437195,0.8231218970943962,0.749539214423006,0.7798718656644302,0.9928920604596281,0.9366320364677198,0.9639418487303277,0.2200399467376831,1.8425087108013938,CB,MC
0.9616344873501997,0.991469707057257,0.9443643442143671,0.7752215726209607,0.8815892031732587,0.9967410237680508,0.9861300275175807,0.9914071341744563,0.051181757656458056,1.334056399132321,CB,ML
0.9386651131824234,0.9861157345761207,0.8829084207490697,0.7662667751939441,0.8494269330880813,0.9902230713041524,0.9818100782751609,0.9859986292364288,0.08330559254327563,1.3582089552238805,LB,MC
0.9550599201065246,0.9901104083444296,0.919515370255297,0.769395874044031,0.8873634826099419,0.9977805248075519,0.9824614788790837,0.9900617481844919,0.05933754993342211,1.3203703703703704,LB,ML
0.9381657789613849,0.9833832667554372,0.8774428449114662,0.7697317606890074,0.8543415432394514,0.9908411530033152,0.9758716104039845,0.9832994117155045,0.09970039946737683,1.6123822341857335,AB,MC
0.9743675099866844,0.9949789169995561,0.9436746193070177,0.8015347110677534,0.9135156853790337,0.9958700904646851,0.9939711737984409,0.9949197260581565,0.030126498002663114,1.1753246753246753,AB,ML
0.9181924101198402,0.980623058144696,0.7503985557215541,0.8684668772872798,0.843280504019406,0.9709782547620386,0.9895776664280601,0.9801897360994909,0.11626165113182424,1.4211597151576805,Base,MC
0.9657956058588548,0.9929677097203728,0.9098288498747077,0.7925109526644876,0.8974642306064792,0.9919930325335731,0.9937519349300611,0.992871704745167,0.042193741677762985,1.2335766423357664,Base,ML
0.8759986684420772,0.9623557478917,0.7951841799361724,0.7266779114243902,0.7795981934969608,0.992751587346182,0.9350127011007621,0.9630174692720683,0.22586551264980026,1.8214765100671142,CB,MC
0.9574733688415447,0.9906652241455837,0.9244747674824156,0.756420238810206,0.8792296021271947,0.9965443614092263,0.9847311290636018,0.9906025274034769,0.056008655126498004,1.3170254403131116,CB,ML
0.9376664447403462,0.9854222148246782,0.9084674924428605,0.7571555426728357,0.8593970908017574,0.9911782884755858,0.979537440653025,0.9853234838223178,0.08746671105193075,1.4032042723631508,LB,MC
0.9524800266311585,0.9892227030625832,0.9090575716439605,0.7674071745330608,0.8758844706624589,0.9973591054672136,0.9811237321394025,0.9891748052997478,0.06466378162450066,1.36077057793345,LB,ML
0.9389147802929427,0.9839103417665335,0.8918557490479616,0.7568470310561305,0.8570026101341481,0.9906444906444907,0.9770837951673687,0.9838174158087108,0.09653794940079893,1.5803814713896458,AB,MC
0.9717876165113183,0.9942021748779405,0.9394899007468552,0.7625884368123284,0.9004849811130332,0.9952801033882115,0.9929924879470793,0.9941349796548338,0.03478695073235686,1.233038348082596,AB,ML
0.9179427430093209,0.9802208166888593,0.7571702572671327,0.902137517804694,0.8462193397629816,0.9696578074956453,0.9900745840504876,0.9797598433020126,0.11867509986684421,1.4462474645030425,Base,MC
0.9657123834886817,0.9929677097203728,0.9118715440027823,0.8017447953361478,0.8940194232821338,0.9920492217789515,0.9936963557056423,0.9928721056109323,0.042193741677762985,1.2305825242718447,Base,ML
0.8771637816245007,0.9611906347092766,0.7987259410270962,0.7523549551449482,0.7941609528014371,0.9926111142327358,0.9330533988274441,0.9619112442145386,0.23285619174434088,1.8956639566395663,CB,MC
0.9591378162450066,0.9908732800710164,0.938229685749641,0.7558326744039918,0.8727418453592192,0.9962915098050233,0.9853840168945204,0.9908077449638177,0.05476031957390146,1.340122199592668,CB,ML
0.9409953395472703,0.9861434753661784,0.9029897744954809,0.7670179315264103,0.8686580161319518,0.9914311400797887,0.980713114526304,0.9860430026405129,0.08313914780292943,1.4090267983074753,LB,MC
0.9565579227696405,0.9899300932090546,0.9024573100665026,0.7905790020019213,0.888556406590634,0.9977243355621734,0.9821616239836274,0.9898818151410412,0.06041944074567244,1.3908045977011494,LB,ML
0.939996671105193,0.9838271193963604,0.8841509647669371,0.7739215028474035,0.8592542575711801,0.991346856211721,0.976261620185923,0.9837464105494996,0.09703728362183756,1.6171983356449375,AB,MC
0.9722869507323568,0.9943686196182867,0.9541938700858152,0.7887820363885788,0.9001162611033399,0.995476765747036,0.993133023151522,0.9943035133011562,0.03378828229027963,1.2192192192192193,AB,ML
0.9200233022636485,0.9802901686640035,0.7683987458136743,0.9002918804521467,0.8530075451011501,0.9698544698544699,0.9900197883506839,0.9798333877354073,0.1182589880159787,1.4786680541103017,Base,MC
0.9655459387483355,0.9930093209054593,0.909838137197375,0.795121295140463,0.8918774309128125,0.9919368432881946,0.9938914536651278,0.9929131865350543,0.041944074567243674,1.2173913043478262,Base,ML
0.8793275632490013,0.9621338215712384,0.8100739838202217,0.7496046999824981,0.7910497977481089,0.9923301680058437,0.9349621472814866,0.9627923458540042,0.2271970705725699,1.8827586206896552,CB,MC
0.9598868175765646,0.9910952063914781,0.9473452775631398,0.7706795685120148,0.8782416904134779,0.9970500646176322,0.9850940987064898,0.9910360234571349,0.05342876165113183,1.3319502074688796,CB,ML
0.9402463382157124,0.9861712161562362,0.9127528193502891,0.777861294078487,0.867438148255547,0.9908130583806259,0.9813562623479979,0.9860619871104837,0.08297270306258323,1.3885793871866294,LB,MC
0.9568075898801598,0.9904849090102086,0.9271570611853334,0.7812030327597141,0.8889269601003871,0.9977805248075519,0.983195836332429,0.9904344916057783,0.057090545938748335,1.3217726396917149,LB,ML
0.9396637816245007,0.9839103417665335,0.8756557169895627,0.7712255322904359,0.8675102495298483,0.9907849637579367,0.9769516316693445,0.983819673045807,0.09653794940079893,1.6,AB,MC
0.974034620505992,0.9947015090989791,0.9400535337977607,0.8016250577954813,0.9210655279302603,0.9958419958419958,0.9934417040358744,0.9946404018295592,0.03179094540612517,1.2243589743589745,AB,ML
0.9189414114513982,0.9808311140701287,0.7590467609865126,0.8846150275632287,0.8472540084754508,0.9708658762712816,0.9901151796458656,0.9803960508397639,0.1150133155792277,1.4188911704312115,Base,MC
0.9639647137150466,0.9929122281402575,0.907796624210131,0.7638271032656963,0.8826452645525553,0.9917401809293701,0.9938902497395613,0.9928140512719551,0.04252663115845539,1.1801385681293302,Base,ML
