Class Accuracy,Bitwise Accuracy,Class Recall,Class Precision,Class F1,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Training,Model
0.8951398135818908,0.9715518197958278,0.7338272107242003,0.9099076909054212,0.8211364790410574,0.9503006124627746,0.9917319025420002,0.9705743102681453,0.1706890812250333,1.6277777777777778,Base,MC
0.9398302263648469,0.9859354194407457,0.9003592910970095,0.745116165651163,0.8291755819326241,0.990054503568017,0.9816155988857939,0.9858169916356618,0.08438748335552597,1.4024896265560165,Base,ML
0.6978195739014648,0.9084415224145583,0.604076280875029,0.7815770817050837,0.6391830218182171,0.8891105242456594,0.9226261625025509,0.9055583375062594,0.5493508655126498,1.8179564858165795,CB,MC
0.9228528628495339,0.9790557035064359,0.9113210723171148,0.6904268266996256,0.8115928266316992,0.9594313648367703,0.998071077858312,0.9783698610514254,0.1256657789613848,1.62891046386192,CB,ML
0.8957223701731025,0.9721621171770972,0.8651506037538503,0.7475439589423394,0.8045287328125766,0.9676630892847109,0.9757500212470608,0.9716897295924843,0.16702729693741677,1.601755786113328,LB,MC
0.9832723035952063,0.9967127163781625,0.977388494919232,0.8797096653006773,0.9455986372608443,0.9981176602798224,0.9952376950444015,0.9966755972002076,0.0197237017310253,1.1791044776119404,LB,ML
0.8772470039946738,0.9682645361739902,0.8280447800702039,0.7437695987243476,0.8022140936512404,0.9644322076754509,0.9710891089108911,0.9677492106450157,0.1904127829560586,1.551186440677966,AB,MC
0.9856025299600533,0.997309143364403,0.975016562078663,0.8442903307335979,0.9400862511450256,0.9964319829184693,0.9981144819046547,0.9972725227758407,0.016145139813581892,1.1213872832369942,AB,ML
0.8967210386151797,0.9723424323124723,0.7463629279536784,0.9141863316457751,0.8336684073834163,0.9515929651064786,0.9920625622400563,0.9714064471721923,0.16594540612516645,1.6067687348912167,Base,MC
0.9425765645805593,0.9866289391921882,0.8874095112138326,0.732153174794391,0.8403766295753393,0.9904478282856661,0.9826077261831763,0.986512200582046,0.08022636484687085,1.3971014492753624,Base,ML
0.698818242343542,0.9107162671992899,0.6025933414189495,0.7911459394823936,0.6624643692610911,0.894364218688543,0.9224305293964243,0.9081805862634619,0.535702396804261,1.778668140370268,CB,MC
0.9280126498002663,0.9807478916999556,0.9223843745917252,0.708401737800268,0.8294846200029793,0.9628308141821655,0.9981069431500466,0.9801515801515802,0.1155126498002663,1.6046242774566475,CB,ML
0.8974700399467377,0.9730498224589437,0.8621594039483622,0.7444160530850797,0.8099443375876328,0.9684216440973198,0.9767916347870441,0.9725886319709945,0.1617010652463382,1.5771103896103895,LB,MC
0.9831058588548602,0.9966988459831336,0.9789574241301315,0.8798110866253652,0.9451296200521684,0.9980895656571332,0.9952375616315553,0.9966615233553093,0.0198069241011984,1.1724137931034482,LB,ML
0.878994673768309,0.969207723035952,0.8060735699003302,0.742609360942697,0.802075696474286,0.965865033432601,0.9715973321275153,0.9687227028093212,0.18475366178428762,1.5268225584594224,AB,MC
0.9848535286284953,0.9971149578339991,0.975085049983366,0.8435673165681774,0.9391088958648555,0.9960948474461988,0.9980576511654093,0.9970752833319272,0.017310252996005325,1.1428571428571428,AB,ML
0.8951398135818908,0.9720372836218375,0.7457207867283406,0.9021793070747529,0.827452004581575,0.9512839242568972,0.9917403784195419,0.9710909716645635,0.1677762982689747,1.6,Base,MC
0.9398302263648469,0.9861573457612073,0.8848481723915621,0.7371806561755365,0.8384443989136193,0.9898016519638141,0.9822952099481403,0.9860341449762106,0.08305592543275632,1.380359612724758,Base,ML
0.6956557922769641,0.9095372836218375,0.629062332489289,0.804089842876588,0.664741056485105,0.891386188683486,0.9227547696603071,0.9067992797736432,0.5427762982689747,1.7834290401968826,CB,MC
0.9308422103861518,0.9813998002663116,0.8994621424348449,0.7102051212423491,0.8314741656030209,0.9641231668258695,0.9981385067333701,0.9808360128617362,0.1116011984021305,1.6137184115523466,CB,ML
0.9017143808255659,0.9740901020861075,0.8903700046643053,0.7117071678449429,0.8079419723117635,0.9703320784401865,0.977029702970297,0.9736693730266125,0.15545938748335553,1.5817104149026249,LB,MC
0.9835219707057257,0.996754327563249,0.9770748915076309,0.8814044185469143,0.9464228041944859,0.9981457549025117,0.9952935903182429,0.9967176322064806,0.01947403462050599,1.1818181818181819,LB,ML
0.8801597869507324,0.9697070572569907,0.8273852319247421,0.7797921672398558,0.8120001684658109,0.9660616957914255,0.9723997511452972,0.9692203619144258,0.18175765645805592,1.5166666666666666,AB,MC
0.9856025299600533,0.9972397913892588,0.956648686538386,0.8396199359988462,0.9441396198850003,0.9962634151823341,0.998142258000957,0.9972019516036051,0.016561251664447402,1.1502890173410405,AB,ML
0.8939747003994674,0.9722037283621837,0.7238861250721632,0.9000059453406399,0.8216360785386991,0.9513963027476541,0.9919737535883766,0.9712614007916021,0.16677762982689748,1.5729984301412874,Base,MC
0.943242343541944,0.9865179760319573,0.904504468988761,0.7511558883459454,0.8351212057437992,0.9903635444175984,0.9824693422519509,0.986400649187117,0.08089214380825566,1.4252199413489737,Base,ML
0.6949900133155792,0.9087189303151354,0.5958427961638197,0.7571193566317401,0.6595073798807394,0.889054335000281,0.9232138168451148,0.9058121395142478,0.5476864181091877,1.7956343792633016,CB,MC
0.9254327563249002,0.9803456502441189,0.9056910075635995,0.7066745394382803,0.823283871678102,0.9619036916334214,0.9982215224933672,0.9797261528336172,0.11792609853528628,1.5814732142857142,CB,ML
0.8978861517976032,0.9729804704837994,0.8727603850229327,0.7196738603573952,0.8037004389700602,0.9681126032477384,0.9769505556815604,0.9725115005785567,0.16211717709720372,1.5876120619396903,LB,MC
0.9832723035952063,0.9967127163781625,0.9767967376332524,0.8795095497994213,0.9438331991522967,0.9981457549025117,0.9952099498585395,0.9966756904604941,0.0197237017310253,1.1791044776119404,LB,ML
