Rotation,Class Accuracy,Bitwise Accuracy,Class Recall,Class Precision,Class F1,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
-25.0,0.42587601078167114,0.8504043126684636,0.7751586582048957,0.9095744680851063,0.8370044052863437,0.7751586582048957,0.9095744680851063,0.8370044052863437,0.8975741239892183,1.5633802816901408,0,Base,MC
-21.875,0.5410764872521246,0.8852691218130312,0.820160908660672,0.9423599782490484,0.8770242914979758,0.820160908660672,0.9423599782490484,0.8770242914979758,0.6883852691218131,1.5,0,Base,MC
-18.75,0.6166419019316494,0.9128281327389797,0.8602096854717923,0.9598885793871866,0.9073196419167983,0.8602096854717923,0.9598885793871866,0.9073196419167983,0.5230312035661219,1.3643410852713178,0,Base,MC
-15.625,0.7642857142857142,0.9473809523809524,0.9182389937106918,0.9733333333333334,0.9449838187702265,0.9182389937106918,0.9733333333333334,0.9449838187702265,0.3157142857142857,1.3393939393939394,0,Base,MC
-12.5,0.8354253835425384,0.9637377963737797,0.9378238341968912,0.9880893300248139,0.9623006283228612,0.9378238341968912,0.9880893300248139,0.9623006283228612,0.2175732217573222,1.3220338983050848,0,Base,MC
-9.375,0.8930555555555556,0.9770833333333333,0.965828191741813,0.986905916585839,0.9762532981530342,0.965828191741813,0.986905916585839,0.9762532981530342,0.1375,1.2857142857142858,0,Base,MC
-6.25,0.9398601398601398,0.9874125874125874,0.9829948039678791,0.9914244878513578,0.98719165085389,0.9829948039678791,0.9914244878513578,0.98719165085389,0.07552447552447553,1.255813953488372,0,Base,MC
-3.125,0.9444444444444444,0.9891975308641975,0.9843680214381421,0.9936880072137061,0.9890060578864708,0.9843680214381421,0.9936880072137061,0.9890060578864708,0.06481481481481481,1.1666666666666667,0,Base,MC
0.0,0.9477503628447025,0.9898403483309144,0.9838155958803335,0.9955334987593052,0.9896398618648248,0.9838155958803335,0.9955334987593052,0.9896398618648248,0.06095791001451379,1.1666666666666667,0,Base,MC
3.125,0.9344978165938864,0.9864143619602135,0.9773287333661902,0.994982438534872,0.9860765788165091,0.9773287333661902,0.994982438534872,0.9860765788165091,0.08151382823871907,1.2444444444444445,0,Base,MC
6.25,0.9071729957805907,0.9807782466010314,0.9695357833655706,0.9906126482213439,0.9799608993157379,0.9695357833655706,0.9906126482213439,0.9799608993157379,0.11533052039381153,1.2424242424242424,0,Base,MC
9.375,0.8784153005464481,0.9744990892531876,0.963319578175149,0.9849976558837318,0.9740380157626333,0.963319578175149,0.9849976558837318,0.9740380157626333,0.15300546448087432,1.2584269662921348,0,Base,MC
12.5,0.7878787878787878,0.9573232323232324,0.9405737704918032,0.9719428268925357,0.9560010413954699,0.9405737704918032,0.9719428268925357,0.9560010413954699,0.25606060606060604,1.207142857142857,0,Base,MC
15.625,0.6463768115942029,0.922463768115942,0.875,0.9675704412546517,0.9189598586215602,0.875,0.9675704412546517,0.9189598586215602,0.4652173913043478,1.3155737704918034,0,Base,MC
18.75,0.4978843441466855,0.8862247296661965,0.8183105238319962,0.9459901800327333,0.8775303643724696,0.8183105238319962,0.9459901800327333,0.8775303643724696,0.6826516220028209,1.3595505617977528,0,Base,MC
21.875,0.42450142450142453,0.8575498575498576,0.7668621700879765,0.9273049645390071,0.839486356340289,0.7668621700879765,0.9273049645390071,0.839486356340289,0.8547008547008547,1.4851485148514851,0,Base,MC
25.0,0.32390381895332393,0.8196605374823197,0.7330166270783848,0.8837342497136311,0.801350298623734,0.7330166270783848,0.8837342497136311,0.801350298623734,1.082036775106082,1.600418410041841,0,Base,MC
-25.0,0.42048517520215634,0.8663522012578616,0.7742520398912058,0.9462603878116344,0.8516579406631763,0.7742520398912058,0.9462603878116344,0.8516579406631763,0.8018867924528302,1.3837209302325582,0,Base,ML
-21.875,0.5977337110481586,0.9128895184135978,0.8495030761949834,0.9723726977248104,0.906794645112402,0.8495030761949834,0.9723726977248104,0.906794645112402,0.5226628895184136,1.2992957746478873,0,Base,ML
-18.75,0.7102526002971769,0.9440316988608222,0.9026460309535697,0.9831430125067971,0.9411764705882353,0.9026460309535697,0.9831430125067971,0.9411764705882353,0.33580980683506684,1.158974358974359,0,Base,ML
-15.625,0.8514285714285714,0.9709523809523809,0.9511369134010643,0.9894313034725717,0.9699062654168722,0.9511369134010643,0.9894313034725717,0.9699062654168722,0.1742857142857143,1.1730769230769231,0,Base,ML
-12.5,0.9177126917712691,0.9839609483960948,0.9707960433349034,0.996615087040619,0.9835361488904796,0.9707960433349034,0.996615087040619,0.9835361488904796,0.09623430962343096,1.1694915254237288,0,Base,ML
-9.375,0.95,0.9902777777777778,0.9852871381110584,0.9947292764734068,0.9899856938483549,0.9852871381110584,0.9947292764734068,0.9899856938483549,0.058333333333333334,1.1666666666666667,0,Base,ML
-6.25,0.9776223776223776,0.9960372960372961,0.9943316013226263,0.9976303317535545,0.9959782351549563,0.9943316013226263,0.9976303317535545,0.9959782351549563,0.023776223776223775,1.0625,0,Base,ML
-3.125,0.9854497354497355,0.9969135802469136,0.994193836534167,0.9995509654243376,0.9968652037617555,0.994193836534167,0.9995509654243376,0.9968652037617555,0.018518518518518517,1.2727272727272727,0,Base,ML
0.0,0.97677793904209,0.996129656507015,0.9941147621383031,0.9980305268340719,0.9960687960687961,0.9941147621383031,0.9980305268340719,0.9960687960687961,0.023222060957910014,1.0,0,Base,ML
3.125,0.975254730713246,0.9956331877729258,0.992114342040414,0.9990074441687344,0.9955489614243322,0.992114342040414,0.9990074441687344,0.9955489614243322,0.026200873362445413,1.0588235294117647,0,Base,ML
6.25,0.960618846694796,0.9929676511954993,0.9879110251450677,0.99755859375,0.9927113702623906,0.9879110251450677,0.99755859375,0.9927113702623906,0.04219409282700422,1.0714285714285714,0,Base,ML
9.375,0.9316939890710383,0.9865664845173042,0.9784502521779,0.994408201304753,0.9863646868500114,0.9784502521779,0.994408201304753,0.9863646868500114,0.08060109289617487,1.18,0,Base,ML
12.5,0.853030303030303,0.9727272727272728,0.9590163934426229,0.9852631578947368,0.9719626168224299,0.9590163934426229,0.9852631578947368,0.9719626168224299,0.16363636363636364,1.1134020618556701,0,Base,ML
15.625,0.6434782608695652,0.9340579710144927,0.8947115384615385,0.9718015665796345,0.9316645807259074,0.8947115384615385,0.9718015665796345,0.9316645807259074,0.39565217391304347,1.1097560975609757,0,Base,ML
18.75,0.5204513399153737,0.9057357780912083,0.855592260500236,0.95020964360587,0.9004221504842315,0.855592260500236,0.95020964360587,0.9004221504842315,0.5655853314527504,1.1794117647058824,0,Base,ML
21.875,0.44871794871794873,0.8846153846153846,0.8098729227761485,0.9446978335233751,0.8721052631578947,0.8098729227761485,0.9446978335233751,0.8721052631578947,0.6923076923076923,1.255813953488372,0,Base,ML
25.0,0.3578500707213578,0.8611504007543611,0.7890736342042756,0.9197120708748616,0.849399130657121,0.7890736342042756,0.9197120708748616,0.849399130657121,0.8330975954738331,1.2973568281938326,0,Base,ML
-25.0,0.3261455525606469,0.8207547169811321,0.7243880326382592,0.8937360178970917,0.800200300450676,0.7243880326382592,0.8937360178970917,0.800200300450676,1.0754716981132075,1.596,0,CB,MC
-21.875,0.4730878186968839,0.8748819641170916,0.8135352579271179,0.9266846361185984,0.8664314516129034,0.8135352579271179,0.9266846361185984,0.8664314516129034,0.7507082152974505,1.424731182795699,0,CB,MC
-18.75,0.6656760772659732,0.9289252105002477,0.908137793310035,0.9464099895941728,0.9268789808917197,0.908137793310035,0.9464099895941728,0.9268789808917197,0.4264487369985141,1.2755555555555556,0,CB,MC
-15.625,0.8228571428571428,0.965,0.9709724238026125,0.9584527220630372,0.9646719538572458,0.9709724238026125,0.9584527220630372,0.9646719538572458,0.21,1.185483870967742,0,CB,MC
-12.5,0.9205020920502092,0.9841933984193398,0.9849269901083373,0.9830747531734838,0.984,0.9849269901083373,0.9830747531734838,0.984,0.09483960948396095,1.1929824561403508,0,CB,MC
-9.375,0.9569444444444445,0.9921296296296296,0.9933554817275747,0.9905347846663511,0.9919431279620853,0.9933554817275747,0.9905347846663511,0.9919431279620853,0.04722222222222222,1.096774193548387,0,CB,MC
-6.25,0.9790209790209791,0.9965034965034965,0.9962210675484175,0.9966918714555766,0.9964564138908575,0.9962210675484175,0.9966918714555766,0.9964564138908575,0.02097902097902098,1.0,0,CB,MC
-3.125,0.9814814814814815,0.9964726631393298,0.995980348369808,0.9968708091193563,0.996425379803396,0.995980348369808,0.9968708091193563,0.996425379803396,0.021164021164021163,1.1428571428571428,0,CB,MC
0.0,0.9796806966618288,0.996129656507015,0.9965669445806769,0.9955903968642822,0.9960784313725489,0.9965669445806769,0.9955903968642822,0.9960784313725489,0.023222060957910014,1.1428571428571428,0,CB,MC
3.125,0.9767103347889374,0.9956331877729258,0.9965500246426812,0.9945892769306444,0.9955686853766618,0.9965500246426812,0.9945892769306444,0.9955686853766618,0.026200873362445413,1.125,0,CB,MC
6.25,0.980309423347398,0.9955461790904829,0.9956479690522244,0.9951667472208796,0.9954072999758279,0.9956479690522244,0.9951667472208796,0.9954072999758279,0.026722925457102673,1.3571428571428572,0,CB,MC
9.375,0.9576502732240437,0.9913479052823315,0.9926639156350298,0.9899405578417924,0.9913003663003663,0.9926639156350298,0.9899405578417924,0.9913003663003663,0.05191256830601093,1.2258064516129032,0,CB,MC
12.5,0.9106060606060606,0.9840909090909091,0.985655737704918,0.9821337417049515,0.9838915878291997,0.985655737704918,0.9821337417049515,0.9838915878291997,0.09545454545454546,1.0677966101694916,0,CB,MC
