Class Accuracy,Label Accuracy,Mean Error,Class Recall,Class Precision,Class F1,Label Recall,Label Precision,Label F1,Brightness,Trial,Resampling Scenario,Model
0.9502688172043011,0.989247311827957,1.2972972972972974,0.8719494717016022,0.9408787055798201,0.9282871647697838,0.9780480696930501,0.9943721254599115,0.9860028481752224,1.0,0,No Resampling,Multiclass
0.978494623655914,0.9959677419354839,1.125,0.9714203918716068,0.9423455210129341,0.949306039838657,0.9916824852809484,0.9988334519494351,0.9952278285780581,1.0,0,No Resampling,Multilabel
0.9865591397849462,0.9973118279569892,1.2,0.9697488447097333,0.9769985297206469,0.9824226478975662,0.9969203459453562,0.9975815843646713,0.9972474463560025,1.0,0,Class Resampled,Multiclass
0.9852150537634409,0.9970878136200717,1.1818181818181819,0.9785738320977682,0.9507601351351352,0.9698833871944337,0.9957659076109979,0.998015873015873,0.9968831723280677,1.0,0,Class Resampled,Multilabel
0.9798387096774194,0.9961917562724014,1.1333333333333333,0.9443138163044897,0.9355455802235801,0.9517044151562137,0.9934299794784446,0.9974735622205136,0.9954333388822222,1.0,0,Label Resampled,Multiclass
0.9825268817204301,0.996415770609319,1.2307692307692308,0.9760458340910468,0.9251007156109198,0.9646552309687665,0.9966500839908243,0.9952606792685194,0.9959455462582061,1.0,0,Label Resampled,Multilabel
0.9852150537634409,0.996415770609319,1.4545454545454546,0.9777642027524693,0.965926532096745,0.9668385902915062,0.9954358746076976,0.9971940398665251,0.9963057163259422,1.0,0,Adaptive Resampled,Multiclass
0.9852150537634409,0.9970878136200717,1.1818181818181819,0.9765552931111442,0.9547207863408521,0.9720244798803497,0.9973699708442357,0.9964945414138966,0.9969227531085422,1.0,0,Adaptive Resampled,Multilabel
0.9576059850374065,0.9910640066500416,1.2647058823529411,0.8941295038189254,0.9691667816333591,0.9467752834418668,0.9841551462830326,0.9934733238716839,0.9887414607599818,1.02,0,No Resampling,Multiclass
0.983790523690773,0.9970906068162926,1.0769230769230769,0.9514386881234708,0.9384556917403272,0.9727725323904479,0.9941787007801665,0.9982771252724608,0.9962186988775813,1.02,0,No Resampling,Multilabel
0.9812967581047382,0.9960515378221114,1.2666666666666666,0.9876698782116723,0.9222979128013152,0.969938308474506,0.9970385985255596,0.9931341805120893,0.9950718086996907,1.02,0,Class Resampled,Multiclass
0.9788029925187033,0.9962593516209476,1.0588235294117647,0.968380707871936,0.8910254009088917,0.9536608288129772,0.995870136830782,0.9953289686229246,0.995589810456444,1.02,0,Class Resampled,Multilabel
0.9800498753117207,0.9962593516209476,1.125,0.9822735043638721,0.9090976965203623,0.959611311843052,0.9968123243892304,0.993958532396706,0.9953702915951156,1.02,0,Label Resampled,Multiclass
0.9775561097256857,0.9954280964256027,1.2222222222222223,0.9797837508082814,0.9294005354906117,0.9573846698067443,0.99776984228084,0.9915833954048842,0.9946436462060558,1.02,0,Label Resampled,Multilabel
0.986284289276808,0.9977140482128013,1.0,0.9751676789720267,0.9069469511449426,0.9763908289465301,0.9970080647065306,0.9987804878048779,0.9978897453748047,1.02,0,Adaptive Resampled,Multiclass
0.9788029925187033,0.9962593516209476,1.0588235294117647,0.9697330581125023,0.9181210620773032,0.9571099340101109,0.9970103248509825,0.9955926743587297,0.9962914498867556,1.02,0,Adaptive Resampled,Multilabel
0.9605442176870749,0.991609977324263,1.2758620689655173,0.8965329209931483,0.9582444543937338,0.9304526147668041,0.9851415546691449,0.9935865188020218,0.9892829753344721,1.04,0,No Resampling,Multiclass
0.9891156462585035,0.9977324263038548,1.25,0.9865349297167479,0.9689153955188112,0.9879319867440924,0.9966879390716037,0.9979288797016489,0.9973024053645525,1.04,0,No Resampling,Multilabel
0.9795918367346939,0.9956916099773243,1.2666666666666666,0.9710319595224616,0.9652958821819063,0.9769339128637449,0.9958836982749159,0.9929808423581697,0.9944234700349875,1.04,0,Class Resampled,Multiclass
0.9877551020408163,0.9977324263038548,1.1111111111111112,0.9859866880302345,0.922549274251092,0.982617589097133,0.9972487311927912,0.9983050117378477,0.9977720501934253,1.04,0,Class Resampled,Multilabel
0.9836734693877551,0.9970521541950114,1.0833333333333333,0.972159234389348,0.9376726399444466,0.9718057555003548,0.9960913237853838,0.9973551339039153,0.9967141906348314,1.04,0,Label Resampled,Multiclass
0.9850340136054422,0.9972789115646259,1.0909090909090908,0.9827883270477826,0.9674419345422446,0.9851512538814702,0.999586435070306,0.9939467400442235,0.9967502059456083,1.04,0,Label Resampled,Multilabel
0.9809523809523809,0.9965986394557823,1.0714285714285714,0.9688254280441781,0.914504738065439,0.9678861647345514,0.9950581270704024,0.996272138813299,0.9956539039178683,1.04,0,Adaptive Resampled,Multiclass
