Evaluation,Resampling Scenario,Model,Class,Class Recall,Class Precision,Class F1
Braille37,Class Resampled,Multiclass,51,,0.0,
Braille37,Class Resampled,Multiclass,52,,0.0,
Braille37,Class Resampled,Multiclass,53,0.6112385321100917,0.9726277372262774,0.7507042253521126
Braille37,Class Resampled,Multiclass,54,,0.0,
Braille37,Class Resampled,Multiclass,55,,0.0,
Braille37,Class Resampled,Multiclass,56,,0.0,
Braille37,Class Resampled,Multiclass,57,,0.0,
Braille37,Class Resampled,Multiclass,58,0.7554285714285714,0.9924924924924925,0.8578844905905256
Braille37,Class Resampled,Multiclass,59,,0.0,
Braille37,Class Resampled,Multiclass,60,0.8424657534246576,0.9534883720930233,0.8945454545454546
Braille37,Class Resampled,Multiclass,61,0.8795454545454545,0.9847328244274809,0.9291716686674668
Braille37,Class Resampled,Multiclass,62,,0.0,
Braille37,Class Resampled,Multiclass,63,,0.0,
In-distribution,Label Resampled,Multiclass,0,,,
In-distribution,Label Resampled,Multiclass,1,0.9935344827586207,0.9913978494623656,0.9924650161463939
In-distribution,Label Resampled,Multiclass,2,0.9801587301587301,0.9148148148148149,0.946360153256705
In-distribution,Label Resampled,Multiclass,3,0.9722222222222222,0.9905660377358491,0.9813084112149533
In-distribution,Label Resampled,Multiclass,4,1.0,1.0,1.0
In-distribution,Label Resampled,Multiclass,5,0.9844660194174757,0.9960707269155207,0.990234375
In-distribution,Label Resampled,Multiclass,6,,0.0,
In-distribution,Label Resampled,Multiclass,7,0.9938144329896907,0.9897330595482546,0.991769547325103
In-distribution,Label Resampled,Multiclass,8,1.0,0.8,0.888888888888889
In-distribution,Label Resampled,Multiclass,9,0.9863013698630136,0.9863013698630136,0.9863013698630136
In-distribution,Label Resampled,Multiclass,10,0.986468200270636,0.9918367346938776,0.989145183175034
In-distribution,Label Resampled,Multiclass,11,0.9375,1.0,0.967741935483871
In-distribution,Label Resampled,Multiclass,12,,,
In-distribution,Label Resampled,Multiclass,13,0.9911504424778761,0.9911504424778761,0.9911504424778761
In-distribution,Label Resampled,Multiclass,14,0.986,0.9899598393574297,0.9879759519038075
In-distribution,Label Resampled,Multiclass,15,0.9905660377358491,0.9813084112149533,0.9859154929577464
In-distribution,Label Resampled,Multiclass,16,1.0,1.0,1.0
In-distribution,Label Resampled,Multiclass,17,0.9741480611045829,0.9987951807228915,0.9863176680547293
In-distribution,Label Resampled,Multiclass,18,0.9861111111111112,0.9793103448275862,0.9826989619377162
In-distribution,Label Resampled,Multiclass,19,0.9444444444444444,0.9357798165137615,0.9400921658986177
In-distribution,Label Resampled,Multiclass,20,,0.0,
In-distribution,Label Resampled,Multiclass,21,0.9580896686159844,0.9949392712550608,0.9761668321747766
In-distribution,Label Resampled,Multiclass,22,1.0,0.9516129032258065,0.9752066115702479
In-distribution,Label Resampled,Multiclass,23,0.9933920704845814,0.9241803278688525,0.9575371549893842
In-distribution,Label Resampled,Multiclass,24,0.9887640449438202,0.9887640449438202,0.9887640449438202
In-distribution,Label Resampled,Multiclass,25,0.9831460674157303,0.9722222222222222,0.9776536312849161
In-distribution,Label Resampled,Multiclass,26,0.9791666666666666,0.9724137931034482,0.9757785467128027
In-distribution,Label Resampled,Multiclass,27,0.9954545454545455,0.9864864864864865,0.9909502262443439
In-distribution,Label Resampled,Multiclass,28,0.875,0.7777777777777778,0.823529411764706
In-distribution,Label Resampled,Multiclass,29,0.985172981878089,0.9835526315789473,0.9843621399176955
In-distribution,Label Resampled,Multiclass,30,0.9968102073365231,0.9920634920634921,0.9944311853619731
In-distribution,Label Resampled,Multiclass,31,0.9673202614379085,0.9673202614379085,0.9673202614379085
In-distribution,Label Resampled,Multiclass,32,1.0,0.9375,0.967741935483871
In-distribution,Label Resampled,Multiclass,33,1.0,0.92,0.9583333333333334
In-distribution,Label Resampled,Multiclass,34,0.9375,1.0,0.967741935483871
In-distribution,Label Resampled,Multiclass,35,1.0,0.8,0.888888888888889
In-distribution,Label Resampled,Multiclass,36,0.9727891156462585,1.0,0.9862068965517241
In-distribution,Label Resampled,Multiclass,37,0.9939393939393939,1.0,0.9969604863221885
In-distribution,Label Resampled,Multiclass,38,1.0,0.8518518518518519,0.92
In-distribution,Label Resampled,Multiclass,39,,0.0,
In-distribution,Label Resampled,Multiclass,40,0.9,1.0,0.9473684210526316
In-distribution,Label Resampled,Multiclass,41,,,
In-distribution,Label Resampled,Multiclass,42,1.0,0.9166666666666666,0.9565217391304348
In-distribution,Label Resampled,Multiclass,43,0.996,1.0,0.9979959919839679
In-distribution,Label Resampled,Multiclass,44,1.0,0.5,0.6666666666666666
In-distribution,Label Resampled,Multiclass,45,1.0,1.0,1.0
In-distribution,Label Resampled,Multiclass,46,0.9831932773109243,1.0,0.9915254237288135
In-distribution,Label Resampled,Multiclass,47,0.9852941176470589,1.0,0.9925925925925926
In-distribution,Label Resampled,Multiclass,48,,0.0,
In-distribution,Label Resampled,Multiclass,49,0.9879518072289156,0.9425287356321839,0.9647058823529412
In-distribution,Label Resampled,Multiclass,50,0.9799196787148594,0.9878542510121457,0.9838709677419354
In-distribution,Label Resampled,Multiclass,51,1.0,0.9857142857142858,0.9928057553956835
In-distribution,Label Resampled,Multiclass,52,1.0,0.9166666666666666,0.9565217391304348
In-distribution,Label Resampled,Multiclass,53,0.9895287958115183,0.9895287958115183,0.9895287958115183
In-distribution,Label Resampled,Multiclass,54,0.918918918918919,0.918918918918919,0.918918918918919
In-distribution,Label Resampled,Multiclass,55,1.0,0.8421052631578947,0.9142857142857143
In-distribution,Label Resampled,Multiclass,56,1.0,0.5,0.6666666666666666
In-distribution,Label Resampled,Multiclass,57,,,
In-distribution,Label Resampled,Multiclass,58,0.9632183908045977,0.9976190476190476,0.9801169590643275
In-distribution,Label Resampled,Multiclass,59,0.0,,
In-distribution,Label Resampled,Multiclass,60,0.921875,0.9943820224719101,0.9567567567567568
In-distribution,Label Resampled,Multiclass,61,1.0,0.6666666666666666,0.8
In-distribution,Label Resampled,Multiclass,62,0.989010989010989,0.989010989010989,0.989010989010989
In-distribution,Label Resampled,Multiclass,63,0.9583333333333334,0.92,0.9387755102040817
DSBI,Label Resampled,Multiclass,0,,,
DSBI,Label Resampled,Multiclass,1,0.9827429609445958,0.92399658411614,0.9524647887323944
DSBI,Label Resampled,Multiclass,2,0.9722222222222222,0.546400693842151,0.6996113270405331
DSBI,Label Resampled,Multiclass,3,0.9823321554770318,0.996415770609319,0.9893238434163701
DSBI,Label Resampled,Multiclass,4,0.8206060606060606,0.9955882352941177,0.8996677740863788
DSBI,Label Resampled,Multiclass,5,0.9069423929098966,0.953416149068323,0.9295987887963664
DSBI,Label Resampled,Multiclass,6,0.8717353453279164,0.9986702127659575,0.9308955686396033
DSBI,Label Resampled,Multiclass,7,0.9902912621359223,0.9125248508946322,0.9498189342990171
DSBI,Label Resampled,Multiclass,8,0.954983922829582,0.5711538461538461,0.7148014440433212
DSBI,Label Resampled,Multiclass,9,0.9610894941634242,0.8743362831858407,0.9156626506024096
DSBI,Label Resampled,Multiclass,10,0.9927841250751653,0.9610011641443539,0.9766341319136349
DSBI,Label Resampled,Multiclass,11,0.9180124223602485,0.9973009446693657,0.9560155239327297
DSBI,Label Resampled,Multiclass,12,0.3405204460966543,0.9934924078091106,0.5071982281284607
DSBI,Label Resampled,Multiclass,13,0.9554367201426025,0.8948247078464107,0.9241379310344826
DSBI,Label Resampled,Multiclass,14,0.9776536312849162,0.4716981132075472,0.6363636363636364
DSBI,Label Resampled,Multiclass,15,1.0,0.4940239043824701,0.6613333333333333
DSBI,Label Resampled,Multiclass,16,0.7765869744435284,0.9985865724381625,0.8737053640439016
DSBI,Label Resampled,Multiclass,17,0.9391691394658753,0.8890449438202247,0.9134199134199134
DSBI,Label Resampled,Multiclass,18,0.9774072081764389,0.9907306434023991,0.984023828865421
DSBI,Label Resampled,Multiclass,19,0.9910384818133896,0.9848088004190676,0.9879138202837624
DSBI,Label Resampled,Multiclass,20,0.8355795148247979,0.9841269841269841,0.9037900874635569
DSBI,Label Resampled,Multiclass,21,0.7977207977207977,0.9911504424778761,0.8839779005524863
DSBI,Label Resampled,Multiclass,22,0.8921161825726142,0.9706546275395034,0.9297297297297297
DSBI,Label Resampled,Multiclass,23,0.9874476987447699,0.4591439688715953,0.6268260292164675
DSBI,Label Resampled,Multiclass,24,0.9745762711864406,0.25555555555555554,0.40492957746478864
DSBI,Label Resampled,Multiclass,25,0.9923119165293794,0.9885120350109409,0.9904083310496026
DSBI,Label Resampled,Multiclass,26,0.9791666666666666,0.9670781893004116,0.9730848861283644
DSBI,Label Resampled,Multiclass,27,0.9928656361474435,0.9196035242290749,0.9548313321898227
DSBI,Label Resampled,Multiclass,28,0.8365384615384616,0.9684601113172542,0.8976784178847808
DSBI,Label Resampled,Multiclass,29,0.9921052631578947,0.7854166666666667,0.8767441860465115
DSBI,Label Resampled,Multiclass,30,0.9888423988842399,0.9542395693135935,0.9712328767123288
DSBI,Label Resampled,Multiclass,31,0.9770833333333333,0.9832285115303984,0.980146290491118
DSBI,Label Resampled,Multiclass,32,0.9514563106796117,0.9849246231155779,0.9679012345679012
DSBI,Label Resampled,Multiclass,33,0.9639175257731959,0.9524617996604414,0.9581554227156277
DSBI,Label Resampled,Multiclass,34,0.7255083179297597,1.0,0.8409212640599892
DSBI,Label Resampled,Multiclass,35,0.9695431472081218,0.9695431472081218,0.9695431472081218
DSBI,Label Resampled,Multiclass,36,0.9531051964512041,0.9907773386034255,0.9715762273901809
DSBI,Label Resampled,Multiclass,37,0.9414191419141914,0.9982502187226596,0.9690021231422505
DSBI,Label Resampled,Multiclass,38,0.9849137931034483,0.7798634812286689,0.8704761904761905
DSBI,Label Resampled,Multiclass,39,0.966275659824047,0.9374110953058321,0.9516245487364621
DSBI,Label Resampled,Multiclass,40,0.5,0.2,0.28571428571428575
DSBI,Label Resampled,Multiclass,41,0.8857509627727856,0.9857142857142858,0.9330628803245437
DSBI,Label Resampled,Multiclass,42,0.9568788501026694,0.9608247422680413,0.9588477366255144
DSBI,Label Resampled,Multiclass,43,1.0,0.8454935622317596,0.9162790697674419
DSBI,Label Resampled,Multiclass,44,0.9809976247030879,0.8343434343434344,0.9017467248908297
DSBI,Label Resampled,Multiclass,45,0.9548872180451128,0.9657794676806084,0.9603024574669187
DSBI,Label Resampled,Multiclass,46,0.975609756097561,0.9615384615384616,0.9685230024213075
DSBI,Label Resampled,Multiclass,47,0.896774193548387,0.9586206896551724,0.9266666666666665
DSBI,Label Resampled,Multiclass,48,0.8171875,0.8731218697829716,0.8442292171105731
DSBI,Label Resampled,Multiclass,49,0.9837638376383764,0.9645441389290883,0.9740591888929485
DSBI,Label Resampled,Multiclass,50,0.9589490968801314,0.9749582637729549,0.9668874172185431
DSBI,Label Resampled,Multiclass,51,0.9797687861271677,0.837037037037037,0.9027962716378162
DSBI,Label Resampled,Multiclass,52,0.923217550274223,0.9730250481695568,0.9474671669793622
DSBI,Label Resampled,Multiclass,53,0.9646365422396856,0.9143389199255121,0.9388145315487572
DSBI,Label Resampled,Multiclass,54,0.9857142857142858,0.9324324324324325,0.9583333333333333
DSBI,Label Resampled,Multiclass,55,0.9936842105263158,0.9094412331406551,0.9496981891348089
DSBI,Label Resampled,Multiclass,56,0.9907407407407407,0.6625386996904025,0.7940630797773655
DSBI,Label Resampled,Multiclass,57,0.92,0.8333333333333334,0.8745247148288974
DSBI,Label Resampled,Multiclass,58,0.9712460063897763,0.9240121580547113,0.9470404984423677
DSBI,Label Resampled,Multiclass,59,0.2743682310469314,1.0,0.4305949008498584
DSBI,Label Resampled,Multiclass,60,0.9949312092686459,0.930264048747461,0.9615115465360392
DSBI,Label Resampled,Multiclass,61,0.9619565217391305,0.9076923076923077,0.9340369393139842
DSBI,Label Resampled,Multiclass,62,0.9824561403508771,0.958904109589041,0.9705372616984402
DSBI,Label Resampled,Multiclass,63,0.9880952380952381,0.5886524822695035,0.7377777777777778
BCD,Label Resampled,Multiclass,0,,,
BCD,Label Resampled,Multiclass,1,0.15,0.06206896551724138,0.08780487804878048
BCD,Label Resampled,Multiclass,2,,0.0,
BCD,Label Resampled,Multiclass,3,0.08333333333333333,0.45454545454545453,0.1408450704225352
BCD,Label Resampled,Multiclass,4,,0.0,
BCD,Label Resampled,Multiclass,5,0.06666666666666667,0.17391304347826086,0.0963855421686747
BCD,Label Resampled,Multiclass,6,,0.0,
BCD,Label Resampled,Multiclass,7,0.016666666666666666,0.16666666666666666,0.0303030303030303
BCD,Label Resampled,Multiclass,8,,0.0,
BCD,Label Resampled,Multiclass,9,0.11666666666666667,0.30434782608695654,0.1686746987951807
BCD,Label Resampled,Multiclass,10,0.36666666666666664,0.5365853658536586,0.4356435643564356
BCD,Label Resampled,Multiclass,11,0.1,1.0,0.18181818181818182
BCD,Label Resampled,Multiclass,12,,0.0,
BCD,Label Resampled,Multiclass,13,0.4,1.0,0.5714285714285715
BCD,Label Resampled,Multiclass,14,0.15,0.75,0.24999999999999997
BCD,Label Resampled,Multiclass,15,0.16666666666666666,0.3448275862068966,0.2247191011235955
BCD,Label Resampled,Multiclass,16,,0.0,
BCD,Label Resampled,Multiclass,17,0.13333333333333333,1.0,0.23529411764705882
BCD,Label Resampled,Multiclass,18,,0.0,
BCD,Label Resampled,Multiclass,19,0.08333333333333333,0.8333333333333334,0.15151515151515152
BCD,Label Resampled,Multiclass,20,,0.0,
BCD,Label Resampled,Multiclass,21,0.0,,
BCD,Label Resampled,Multiclass,22,,,
BCD,Label Resampled,Multiclass,23,0.06666666666666667,0.17391304347826086,0.0963855421686747
BCD,Label Resampled,Multiclass,24,,0.0,
BCD,Label Resampled,Multiclass,25,0.06666666666666667,0.18181818181818182,0.0975609756097561
BCD,Label Resampled,Multiclass,26,0.1,1.0,0.18181818181818182
BCD,Label Resampled,Multiclass,27,0.0,0.0,
BCD,Label Resampled,Multiclass,28,,0.0,
BCD,Label Resampled,Multiclass,29,0.06666666666666667,0.14814814814814814,0.09195402298850576
BCD,Label Resampled,Multiclass,30,0.13333333333333333,0.3076923076923077,0.18604651162790697
BCD,Label Resampled,Multiclass,31,0.0,,
BCD,Label Resampled,Multiclass,32,,0.0,
BCD,Label Resampled,Multiclass,33,,0.0,
BCD,Label Resampled,Multiclass,34,,,
BCD,Label Resampled,Multiclass,35,,0.0,
BCD,Label Resampled,Multiclass,36,,0.0,
BCD,Label Resampled,Multiclass,37,0.03333333333333333,1.0,0.06451612903225806
BCD,Label Resampled,Multiclass,38,,0.0,
BCD,Label Resampled,Multiclass,39,0.03333333333333333,0.04878048780487805,0.0396039603960396
BCD,Label Resampled,Multiclass,40,,0.0,
BCD,Label Resampled,Multiclass,41,,0.0,
BCD,Label Resampled,Multiclass,42,,,
BCD,Label Resampled,Multiclass,43,,,
BCD,Label Resampled,Multiclass,44,,0.0,
BCD,Label Resampled,Multiclass,45,0.4166666666666667,0.9615384615384616,0.5813953488372093
BCD,Label Resampled,Multiclass,46,,0.0,
BCD,Label Resampled,Multiclass,47,,,
BCD,Label Resampled,Multiclass,48,,0.0,
BCD,Label Resampled,Multiclass,49,,0.0,
BCD,Label Resampled,Multiclass,50,,,
BCD,Label Resampled,Multiclass,51,,0.0,
BCD,Label Resampled,Multiclass,52,,0.0,
BCD,Label Resampled,Multiclass,53,0.3333333333333333,0.40816326530612246,0.36697247706422015
BCD,Label Resampled,Multiclass,54,,0.0,
BCD,Label Resampled,Multiclass,55,,0.0,
BCD,Label Resampled,Multiclass,56,,0.0,
BCD,Label Resampled,Multiclass,57,,0.0,
BCD,Label Resampled,Multiclass,58,0.03333333333333333,1.0,0.06451612903225806
BCD,Label Resampled,Multiclass,59,,,
BCD,Label Resampled,Multiclass,60,,0.0,
BCD,Label Resampled,Multiclass,61,0.03333333333333333,0.11764705882352941,0.05194805194805195
BCD,Label Resampled,Multiclass,62,,0.0,
BCD,Label Resampled,Multiclass,63,,0.0,
ABC,Label Resampled,Multiclass,0,,,
ABC,Label Resampled,Multiclass,1,0.7373737373737373,0.18159203980099503,0.29141716566866266
ABC,Label Resampled,Multiclass,2,,0.0,
ABC,Label Resampled,Multiclass,3,0.37373737373737376,0.37755102040816324,0.3756345177664974
ABC,Label Resampled,Multiclass,4,,0.0,
ABC,Label Resampled,Multiclass,5,0.3333333333333333,0.7333333333333333,0.45833333333333326
ABC,Label Resampled,Multiclass,6,,0.0,
ABC,Label Resampled,Multiclass,7,,0.0,
ABC,Label Resampled,Multiclass,8,,0.0,
ABC,Label Resampled,Multiclass,9,,0.0,
ABC,Label Resampled,Multiclass,10,0.41414141414141414,0.3153846153846154,0.35807860262008734
ABC,Label Resampled,Multiclass,11,0.3333333333333333,0.8461538461538461,0.47826086956521735
ABC,Label Resampled,Multiclass,12,0.12121212121212122,1.0,0.21621621621621626
ABC,Label Resampled,Multiclass,13,0.35353535353535354,0.8536585365853658,0.5
ABC,Label Resampled,Multiclass,14,0.5050505050505051,0.704225352112676,0.5882352941176471
ABC,Label Resampled,Multiclass,15,,0.0,
ABC,Label Resampled,Multiclass,16,,0.0,
ABC,Label Resampled,Multiclass,17,,0.0,
ABC,Label Resampled,Multiclass,18,,0.0,
ABC,Label Resampled,Multiclass,19,0.21212121212121213,0.7241379310344828,0.328125
ABC,Label Resampled,Multiclass,20,,0.0,
ABC,Label Resampled,Multiclass,21,0.23232323232323232,1.0,0.3770491803278689
ABC,Label Resampled,Multiclass,22,,0.0,
ABC,Label Resampled,Multiclass,23,0.36363636363636365,0.4675324675324675,0.40909090909090906
ABC,Label Resampled,Multiclass,24,,0.0,
ABC,Label Resampled,Multiclass,25,0.37373737373737376,0.6607142857142857,0.4774193548387097
ABC,Label Resampled,Multiclass,26,0.26262626262626265,0.5652173913043478,0.35862068965517246
ABC,Label Resampled,Multiclass,27,,0.0,
ABC,Label Resampled,Multiclass,28,0.29292929292929293,0.9666666666666667,0.4496124031007752
ABC,Label Resampled,Multiclass,29,0.3333333333333333,0.6346153846153846,0.4370860927152318
ABC,Label Resampled,Multiclass,30,0.26262626262626265,0.5416666666666666,0.35374149659863946
ABC,Label Resampled,Multiclass,31,0.21212121212121213,0.9130434782608695,0.34426229508196726
ABC,Label Resampled,Multiclass,32,,0.0,
ABC,Label Resampled,Multiclass,33,,0.0,
ABC,Label Resampled,Multiclass,34,,,
ABC,Label Resampled,Multiclass,35,0.5454545454545454,0.8709677419354839,0.670807453416149
ABC,Label Resampled,Multiclass,36,,,
ABC,Label Resampled,Multiclass,37,,,
ABC,Label Resampled,Multiclass,38,,0.0,
ABC,Label Resampled,Multiclass,39,,0.0,
ABC,Label Resampled,Multiclass,40,,0.0,
ABC,Label Resampled,Multiclass,41,0.24242424242424243,0.5853658536585366,0.34285714285714286
ABC,Label Resampled,Multiclass,42,,0.0,
ABC,Label Resampled,Multiclass,43,0.2777777777777778,0.9482758620689655,0.42968749999999994
ABC,Label Resampled,Multiclass,44,,0.0,
ABC,Label Resampled,Multiclass,45,0.26262626262626265,0.9285714285714286,0.4094488188976378
ABC,Label Resampled,Multiclass,46,0.32323232323232326,0.8421052631578947,0.4671532846715329
ABC,Label Resampled,Multiclass,47,0.15151515151515152,0.8333333333333334,0.25641025641025644
ABC,Label Resampled,Multiclass,48,,0.0,
ABC,Label Resampled,Multiclass,49,0.2828282828282828,1.0,0.4409448818897638
ABC,Label Resampled,Multiclass,50,,0.0,
ABC,Label Resampled,Multiclass,51,0.21212121212121213,0.65625,0.3206106870229008
ABC,Label Resampled,Multiclass,52,,0.0,
ABC,Label Resampled,Multiclass,53,,0.0,
ABC,Label Resampled,Multiclass,54,,0.0,
ABC,Label Resampled,Multiclass,55,0.3939393939393939,0.8666666666666667,0.5416666666666666
ABC,Label Resampled,Multiclass,56,0.1111111111111111,0.19642857142857142,0.14193548387096772
ABC,Label Resampled,Multiclass,57,0.3434343434343434,0.2446043165467626,0.2857142857142857
ABC,Label Resampled,Multiclass,58,0.13131313131313133,0.8666666666666667,0.22807017543859653
ABC,Label Resampled,Multiclass,59,,,
ABC,Label Resampled,Multiclass,60,,0.0,
ABC,Label Resampled,Multiclass,61,,0.0,
ABC,Label Resampled,Multiclass,62,0.21212121212121213,0.8076923076923077,0.33599999999999997
ABC,Label Resampled,Multiclass,63,0.696969696969697,0.2793522267206478,0.3988439306358381
Braille37,Label Resampled,Multiclass,0,0.0,,
Braille37,Label Resampled,Multiclass,1,0.9397689768976898,0.5697848924462231,0.709436312675179
Braille37,Label Resampled,Multiclass,2,0.9940944881889764,0.5338266384778013,0.6946354883081157
Braille37,Label Resampled,Multiclass,3,0.8512763596004439,0.9635678391959799,0.9039481437831468
Braille37,Label Resampled,Multiclass,4,0.9701754385964912,0.7638121546961326,0.8547140649149922
Braille37,Label Resampled,Multiclass,5,0.7672955974842768,0.9336734693877551,0.8423475258918297
Braille37,Label Resampled,Multiclass,6,0.8836805555555556,0.9826254826254827,0.930530164533821
Braille37,Label Resampled,Multiclass,7,0.924643584521385,0.8815533980582524,0.9025844930417496
Braille37,Label Resampled,Multiclass,8,,0.0,
Braille37,Label Resampled,Multiclass,9,0.9334719334719335,0.7918871252204586,0.8568702290076335
Braille37,Label Resampled,Multiclass,10,0.9719917012448133,0.8635944700460829,0.9145924841386041
Braille37,Label Resampled,Multiclass,11,0.8661174047373842,0.9722543352601156,0.9161220043572986
Braille37,Label Resampled,Multiclass,12,,,
Braille37,Label Resampled,Multiclass,13,0.8987603305785123,0.9698996655518395,0.9329758713136729
Braille37,Label Resampled,Multiclass,14,0.9076763485477178,0.9552401746724891,0.9308510638297872
Braille37,Label Resampled,Multiclass,15,0.9362139917695473,0.8544600938967136,0.8934707903780069
Braille37,Label Resampled,Multiclass,16,,0.0,
Braille37,Label Resampled,Multiclass,17,0.7107583774250441,0.9710843373493976,0.8207739307535641
Braille37,Label Resampled,Multiclass,18,0.9813242784380306,0.9665551839464883,0.9738837405223252
Braille37,Label Resampled,Multiclass,19,0.937952430196484,0.9816017316017316,0.9592808038075092
Braille37,Label Resampled,Multiclass,20,,0.0,
Braille37,Label Resampled,Multiclass,21,0.7820773930753564,0.9961089494163424,0.8762122076440387
Braille37,Label Resampled,Multiclass,22,0.6746987951807228,0.9970326409495549,0.8047904191616766
Braille37,Label Resampled,Multiclass,23,0.949667616334283,0.8347245409015025,0.8884940026654821
Braille37,Label Resampled,Multiclass,24,,0.0,
Braille37,Label Resampled,Multiclass,25,0.8851590106007067,0.8812664907651715,0.8832084618774791
Braille37,Label Resampled,Multiclass,26,0.9081419624217119,0.8184383819379115,0.8609599208312716
Braille37,Label Resampled,Multiclass,27,0.8,0.9852216748768473,0.8830022075055188
Braille37,Label Resampled,Multiclass,28,,0.0,
Braille37,Label Resampled,Multiclass,29,0.9261811023622047,0.9701030927835051,0.9476334340382679
Braille37,Label Resampled,Multiclass,30,0.9589509692132269,0.9644495412844036,0.9616923956546598
Braille37,Label Resampled,Multiclass,31,0.8340080971659919,0.9975786924939467,0.9084895259095921
Braille37,Label Resampled,Multiclass,32,0.9524590163934427,0.9781144781144782,0.9651162790697675
Braille37,Label Resampled,Multiclass,33,,0.0,
Braille37,Label Resampled,Multiclass,34,,,
Braille37,Label Resampled,Multiclass,35,,0.0,
Braille37,Label Resampled,Multiclass,36,0.9458955223880597,0.9844660194174757,0.9647954329210275
Braille37,Label Resampled,Multiclass,37,0.6404761904761904,0.9607142857142857,0.7685714285714286
Braille37,Label Resampled,Multiclass,38,0.9505494505494505,0.9137323943661971,0.9317773788150807
Braille37,Label Resampled,Multiclass,39,0.7597254004576659,0.6859504132231405,0.720955483170467
Braille37,Label Resampled,Multiclass,40,,,
Braille37,Label Resampled,Multiclass,41,,0.0,
Braille37,Label Resampled,Multiclass,42,,,
Braille37,Label Resampled,Multiclass,43,,0.0,
Braille37,Label Resampled,Multiclass,44,,0.0,
Braille37,Label Resampled,Multiclass,45,0.7583046964490263,0.9792899408284024,0.854744996772111
Braille37,Label Resampled,Multiclass,46,,0.0,
Braille37,Label Resampled,Multiclass,47,,0.0,
Braille37,Label Resampled,Multiclass,48,,0.0,
Braille37,Label Resampled,Multiclass,49,,0.0,
Braille37,Label Resampled,Multiclass,50,0.9533582089552238,1.0,0.9761222540592167
Braille37,Label Resampled,Multiclass,51,,0.0,
Braille37,Label Resampled,Multiclass,52,,0.0,
Braille37,Label Resampled,Multiclass,53,0.7729357798165137,0.9739884393063584,0.8618925831202046
Braille37,Label Resampled,Multiclass,54,,0.0,
Braille37,Label Resampled,Multiclass,55,,0.0,
Braille37,Label Resampled,Multiclass,56,,0.0,
Braille37,Label Resampled,Multiclass,57,,0.0,
Braille37,Label Resampled,Multiclass,58,0.2948571428571429,0.9961389961389961,0.455026455026455
Braille37,Label Resampled,Multiclass,59,,,
Braille37,Label Resampled,Multiclass,60,0.9178082191780822,0.4908424908424908,0.639618138424821
Braille37,Label Resampled,Multiclass,61,0.6715909090909091,0.9817275747508306,0.7975708502024292
Braille37,Label Resampled,Multiclass,62,,0.0,
Braille37,Label Resampled,Multiclass,63,,0.0,
In-distribution,Adaptive Resampled,Multiclass,0,,,
In-distribution,Adaptive Resampled,Multiclass,1,0.9924568965517241,0.9956756756756757,0.9940636805180787
In-distribution,Adaptive Resampled,Multiclass,2,0.9801587301587301,0.95,0.96484375
In-distribution,Adaptive Resampled,Multiclass,3,0.9398148148148148,0.9902439024390244,0.9643705463182897
In-distribution,Adaptive Resampled,Multiclass,4,1.0,0.75,0.8571428571428571
In-distribution,Adaptive Resampled,Multiclass,5,0.9883495145631068,0.9980392156862745,0.9931707317073171
In-distribution,Adaptive Resampled,Multiclass,6,,0.0,
In-distribution,Adaptive Resampled,Multiclass,7,1.0,0.9837728194726166,0.9918200408997956
In-distribution,Adaptive Resampled,Multiclass,8,1.0,0.5,0.6666666666666666
In-distribution,Adaptive Resampled,Multiclass,9,0.9726027397260274,0.9726027397260274,0.9726027397260274
In-distribution,Adaptive Resampled,Multiclass,10,0.9878213802435724,0.9972677595628415,0.9925220938137321
In-distribution,Adaptive Resampled,Multiclass,11,0.875,1.0,0.9333333333333333
In-distribution,Adaptive Resampled,Multiclass,12,,,
In-distribution,Adaptive Resampled,Multiclass,13,0.9793510324483776,0.991044776119403,0.9851632047477745
In-distribution,Adaptive Resampled,Multiclass,14,0.996,0.9940119760479041,0.995004995004995
In-distribution,Adaptive Resampled,Multiclass,15,0.9968553459119497,0.9814241486068112,0.9890795631825273
In-distribution,Adaptive Resampled,Multiclass,16,1.0,0.5,0.6666666666666666
In-distribution,Adaptive Resampled,Multiclass,17,0.9870740305522914,0.99644128113879,0.9917355371900826
In-distribution,Adaptive Resampled,Multiclass,18,0.9861111111111112,0.9403973509933775,0.9627118644067797
In-distribution,Adaptive Resampled,Multiclass,19,0.9444444444444444,0.9714285714285714,0.9577464788732395
In-distribution,Adaptive Resampled,Multiclass,20,,0.0,
In-distribution,Adaptive Resampled,Multiclass,21,0.9883040935672515,0.9931439764936337,0.9907181240840254
In-distribution,Adaptive Resampled,Multiclass,22,1.0,0.921875,0.959349593495935
In-distribution,Adaptive Resampled,Multiclass,23,0.9933920704845814,0.9761904761904762,0.9847161572052401
In-distribution,Adaptive Resampled,Multiclass,24,0.9887640449438202,0.946236559139785,0.967032967032967
In-distribution,Adaptive Resampled,Multiclass,25,0.9719101123595506,0.9971181556195965,0.984352773826458
In-distribution,Adaptive Resampled,Multiclass,26,0.9791666666666666,0.986013986013986,0.9825783972125435
In-distribution,Adaptive Resampled,Multiclass,27,0.990909090909091,0.9954337899543378,0.9931662870159453
In-distribution,Adaptive Resampled,Multiclass,28,1.0,0.8888888888888888,0.9411764705882353
In-distribution,Adaptive Resampled,Multiclass,29,0.9901153212520593,0.9933884297520661,0.9917491749174917
