Class Accuracy,Label Accuracy,Mean Error,Class Recall,Class Precision,Class F1,Label Recall,Label Precision,Label F1,Resampling Scenario,Model
0.8772470039946738,0.968195184198846,1.5545762711864406,0.6948537463198861,0.8784752302565113,0.8066635394804419,0.9335925933355583,0.9908824636203636,0.9603948853611466,No Resampling,Multiclass
0.9433255659121171,0.9882101642254771,1.2481644640234948,0.9146618621773003,0.7395914391885128,0.85392270453958,0.9765221313500474,0.9977269888132231,0.98696313101791,No Resampling,Multilabel
0.9677097203728362,0.9930786728806036,1.2860824742268042,0.9091365051557195,0.8178586260910707,0.9058252471540021,0.9899909855082516,0.9945198584759747,0.9922473657562606,Class Resampled,Multiclass
0.9605525965379494,0.9916361517976032,1.2721518987341771,0.9580125954822866,0.7563297824773698,0.89326346281402,0.9842756724572567,0.9965630948608228,0.99037130066188,Class Resampled,Multilabel
0.9680426098535286,0.9935641367066134,1.2083333333333333,0.9457302835355803,0.8478483953277784,0.9297792913838705,0.9935203102561213,0.9923415112014179,0.9929229649815311,Label Resampled,Multiclass
0.9737849533954727,0.9950205281846427,1.1396825396825396,0.9609270068193805,0.8308072027664117,0.9119606522621991,0.9964620892312048,0.9924674880465388,0.9944476407088415,Label Resampled,Multilabel
0.9623002663115846,0.9909703728362184,1.4370860927152318,0.9291742166611181,0.787549804015733,0.8949990619134858,0.9844356796611055,0.996078390770253,0.9902136412610304,Adaptive Resampled,Multiclass
0.9718708388814914,0.9945766755437195,1.1568047337278107,0.9694675344717066,0.8077791129403563,0.9173949338255883,0.9920312381998521,0.9965371297032161,0.9942742074836719,Adaptive Resampled,Multilabel
0.8776631158455392,0.9686667776298269,1.536734693877551,0.7067677636824964,0.896650856424638,0.8052238470924475,0.9342451358754299,0.9905625200704407,0.9605320242855293,No Resampling,Multiclass
0.943242343541944,0.9883627385707945,1.2302052785923754,0.901337987941437,0.7451083010453339,0.8629799209755051,0.976915767664119,0.9972448581053294,0.9869258499598893,No Resampling,Multilabel
0.9665446071904128,0.993050932090546,1.2462686567164178,0.9261152012338358,0.8302077473614271,0.9041709863758923,0.9903024712150786,0.9935742867225583,0.9919310657297671,Class Resampled,Multiclass
0.9595539280958721,0.9916084110075455,1.2448559670781894,0.9394005995575758,0.7493378143476798,0.8870734969862951,0.9847332250322757,0.9959059996236811,0.9902819039866056,Class Resampled,Multilabel
0.9685419440745673,0.9936473590767865,1.2116402116402116,0.9515372526702786,0.847567108193454,0.9320282887520538,0.9947433486960877,0.991019536065498,0.9928701631452413,Label Resampled,Multiclass
0.9756158455392809,0.9953950288504216,1.1331058020477816,0.9589550575077536,0.8532252015011006,0.9360545860515975,0.9968512661061607,0.9928749251514676,0.9948485433547635,Label Resampled,Multilabel
0.9630492676431425,0.9914419662671993,1.3896396396396395,0.9375035575400561,0.7997556261333553,0.8996907150883012,0.9857076203318694,0.9957960243683918,0.9907187976161924,Adaptive Resampled,Multiclass
0.9722869507323568,0.9946737683089214,1.1531531531531531,0.9542429853432319,0.7731780667775713,0.9132952726139371,0.9923931999760637,0.995982570308369,0.9941783472626439,Adaptive Resampled,Multilabel
0.879077896138482,0.9681397026187306,1.58086717136958,0.7180730643599469,0.9010049208512776,0.805204711862799,0.9331064841316948,0.9905751574254628,0.9598863298271804,No Resampling,Multiclass
0.9419107856191744,0.9881685530403906,1.2220630372492836,0.8847423371704216,0.7333357862701468,0.8658564018661302,0.9762209474242093,0.9976591916696244,0.9867729231414638,No Resampling,Multilabel
0.9686251664447404,0.9933144695960942,1.2785145888594165,0.9205848041951369,0.8330873258267198,0.9130650145216022,0.9903776437024862,0.994600957429662,0.9924838827489286,Class Resampled,Multiclass
0.9598868175765646,0.9916777629826897,1.2448132780082988,0.9299205483128707,0.7399598223258455,0.8757172092763263,0.9844241761006188,0.9963729741436684,0.9903551903402268,Class Resampled,Multilabel
0.968292276964048,0.9936196182867288,1.2073490813648293,0.9353626169538637,0.8283767769930451,0.9225088462228936,0.9936493181229923,0.992318238782569,0.9929777219835431,Label Resampled,Multiclass
0.9735352862849534,0.9949373058144696,1.1477987421383649,0.938313943880602,0.8349279098299882,0.9151064291468112,0.9960769907509799,0.992662261287553,0.9943558006871754,Label Resampled,Multilabel
0.9646304926764314,0.991927430093209,1.3694117647058823,0.9288324327694026,0.7844636870488025,0.8947368566365906,0.9863436169009878,0.9960394568198638,0.9911620357916672,Adaptive Resampled,Multiclass
0.9705392809587217,0.9943686196182867,1.1468926553672316,0.9449268937235166,0.8050593426754523,0.9127596163633453,0.9918968991988466,0.9961015796732103,0.9939876297387374,Adaptive Resampled,Multilabel
0.8749167776298269,0.9674323124722592,1.5622089155023287,0.7045349101418414,0.896558165431948,0.8079165202563274,0.9313378949053627,0.9902390230860115,0.9587267449128055,No Resampling,Multiclass
0.9408288948069241,0.987475033288948,1.270042194092827,0.9033905559688699,0.741225454977056,0.8595881779994383,0.9746303813745447,0.9978398615642018,0.986035553934253,No Resampling,Multilabel
0.96754327563249,0.9931202840656902,1.2717948717948717,0.9195448812803647,0.8380398013981373,0.9080996178955235,0.9900481170426393,0.9941922887224011,0.992114989295362,Class Resampled,Multiclass
0.958555259653795,0.9913448735019973,1.2530120481927711,0.9491842327097183,0.7496804573897485,0.8853968878930413,0.9833703336473464,0.9963413376714613,0.989803887373007,Class Resampled,Multilabel
0.9676264980026631,0.9936612294718153,1.1748071979434447,0.9428277679461414,0.840187799612974,0.9230208396343857,0.994095108459682,0.9919443915177529,0.9930100241105592,Label Resampled,Multiclass
