Class Accuracy,Label Accuracy,Mean Error,Class Recall,Class Precision,Class F1,Label Recall,Label Precision,Label F1,Noise,Trial,Resampling Scenario,Model
0.9614835948644793,0.9916785544460295,1.2962962962962963,0.8882140365328869,0.9627998866456731,0.93995226452232,0.9839193474008234,0.9962643962643963,0.9899860945420675,0.0,0,No Resampling,Multiclass
0.9885877318116976,0.9980979553019496,1.0,0.98438767931415,0.9942759300719718,0.988718797576454,0.997176641045312,0.998571009726312,0.9978707143654129,0.0,0,No Resampling,Multilabel
0.985734664764622,0.9971469329529244,1.2,0.9898819603599016,0.9760916167166168,0.9805111101446002,0.9970935314685315,0.9963302951000204,0.9967080066507811,0.0,0,Class Resampled,Multiclass
0.9914407988587732,0.9985734664764622,1.0,0.9898891512527878,0.9597842897842899,0.983332255330027,0.9980313419000129,0.9987277189356756,0.9983764271253749,0.0,0,Class Resampled,Multilabel
0.9814550641940085,0.9961959106038992,1.2307692307692308,0.9882260101010101,0.9794644183430947,0.9825620101096206,0.9960626838000256,0.9954017321946981,0.9957162087740721,0.0,0,Label Resampled,Multiclass
0.9843081312410842,0.9971469329529244,1.0909090909090908,0.9886992943888568,0.9853413495793174,0.9863238045148983,0.9995780590717299,0.9952363485883039,0.9973943618452868,0.0,0,Label Resampled,Multilabel
0.9871611982881597,0.9978601997146933,1.0,0.9892111531727743,0.9743790762083445,0.9793536329045781,0.9971292286623732,0.9973140038303021,0.9972189064170788,0.0,0,Adaptive Resampled,Multiclass
0.9871611982881597,0.9978601997146933,1.0,0.9913041343120296,0.9493272464888235,0.9916116605927416,0.9979200734863626,0.9982170238801031,0.9980655112092275,0.0,0,Adaptive Resampled,Multilabel
0.9619883040935673,0.9917153996101364,1.3076923076923077,0.922467762275382,0.9620107171358905,0.9481854730394016,0.9831445794972814,0.9971728598464088,0.9900632717878491,0.00625,0,No Resampling,Multiclass
0.9853801169590644,0.9975633528265108,1.0,0.9811333507762081,0.9429649857041636,0.9834801601297327,0.9946159895598489,1.0,0.9972985031766731,0.00625,0,No Resampling,Multilabel
0.9912280701754386,0.9985380116959064,1.0,0.9937281964067678,0.9696940452448409,0.9930014023271421,0.998581950079726,0.998581950079726,0.998581950079726,0.00625,0,Class Resampled,Multiclass
