Class Accuracy,Label Accuracy,Mean Error,Class Recall,Class Precision,Class F1,Label Recall,Label Precision,Label F1,Rotation,Trial,Resampling Scenario,Model
0.42587601078167114,0.8504043126684636,1.5633802816901408,0.3019114272700582,0.3520488693013373,0.42023647009825205,0.7265203891398615,0.9097128915013432,0.7899885251969866,-25.0,0,No Resampling,Multiclass
0.42183288409703507,0.867026055705301,1.3799533799533799,0.3510810655674239,0.32287733182178385,0.39148190109551345,0.7312027236810779,0.9187277935724044,0.802944125050859,-25.0,0,No Resampling,Multilabel
0.3261455525606469,0.8207547169811321,1.596,0.3499794193616965,0.30921408225045316,0.3558998023729379,0.6996306446451684,0.8475024053175306,0.7581837076451468,-25.0,0,Class Resampled,Multiclass
0.2196765498652291,0.7785265049415993,1.7029360967184801,0.25294239295751636,0.24158220166501,0.2700937511727031,0.603857839296233,0.844731255395876,0.6783960298644832,-25.0,0,Class Resampled,Multilabel
0.2587601078167116,0.7767295597484277,1.8072727272727274,0.24477638448722108,0.2498340825273445,0.2922594289542685,0.6571697623801891,0.789561410858315,0.7072777929183802,-25.0,0,Label Resampled,Multiclass
0.3706199460916442,0.8373764600179695,1.5503211991434689,0.33954535574284733,0.2735103111296278,0.38768524614701677,0.766738726645784,0.8659111734419099,0.8012025853608168,-25.0,0,Label Resampled,Multilabel
0.32075471698113206,0.8223270440251572,1.5694444444444444,0.330315668004984,0.2734487594263841,0.32149957242762306,0.7202364541347669,0.8288131581576069,0.7626473015420846,-25.0,0,Adaptive Resampled,Multiclass
0.18463611859838275,0.7758310871518419,1.649586776859504,0.21823518589130034,0.2475569191573059,0.253757852958043,0.6073656526533601,0.8545432875132982,0.6822338745842463,-25.0,0,Adaptive Resampled,Multilabel
0.5410764872521246,0.8852691218130312,1.5,0.40126839278176046,0.5446986790644491,0.5336562761277752,0.7771140207479549,0.9455983037466896,0.8365155102535575,-21.875,0,No Resampling,Multiclass
0.6005665722379604,0.9124173748819642,1.3156028368794326,0.5240111992175894,0.489885480631727,0.5872217496963658,0.8208697092272228,0.9646019549741321,0.8804889324645067,-21.875,0,No Resampling,Multilabel
0.4730878186968839,0.8748819641170916,1.424731182795699,0.4515652116590082,0.41798418373158436,0.4939569170272158,0.7917474167107552,0.8932066971645978,0.8366478822484232,-21.875,0,Class Resampled,Multiclass
0.34419263456090654,0.8397072710103871,1.4665226781857452,0.3119737340537647,0.329107024841698,0.37705433712968844,0.704895048042718,0.9032880410916314,0.774060464509053,-21.875,0,Class Resampled,Multilabel
0.3640226628895184,0.8347497639282342,1.55902004454343,0.32946640218911627,0.295878770447116,0.3661949807246263,0.7449105002929269,0.8552573221001522,0.7901093199903829,-21.875,0,Label Resampled,Multiclass
0.5354107648725213,0.8956562795089708,1.3475609756097562,0.4843364839097218,0.37420111427440594,0.5135830003407441,0.8515106636477231,0.907088905329314,0.8748283639386468,-21.875,0,Label Resampled,Multilabel
0.4631728045325779,0.8746458923512748,1.4010554089709764,0.4195271872832141,0.35534123124422395,0.4459569142520138,0.7942456973299716,0.8871414629302992,0.832729352575943,-21.875,0,Adaptive Resampled,Multiclass
0.2577903682719547,0.8163361661945231,1.484732824427481,0.24811160532496887,0.3071691931023339,0.31079593125701305,0.6741113580929317,0.9076255522530734,0.7482878124842586,-21.875,0,Adaptive Resampled,Multilabel
0.6166419019316494,0.9128281327389797,1.3643410852713178,0.4594503852541348,0.6013550602990846,0.5691946904842934,0.8216277147632448,0.95639720821374,0.8743541513281684,-18.75,0,No Resampling,Multiclass
0.7013372956909361,0.941802872709262,1.1691542288557213,0.6217392087966563,0.5768098680615613,0.6743693859978896,0.8751738116369959,0.9810038281700425,0.9216506083001431,-18.75,0,No Resampling,Multilabel
0.6656760772659732,0.9289252105002477,1.2755555555555556,0.6720472552139218,0.49138609081293505,0.6297581191868169,0.8932503911813384,0.9248673242389819,0.9082424112675457,-18.75,0,Class Resampled,Multiclass
0.5408618127786032,0.9034175334323923,1.2621359223300972,0.5186478754462931,0.42111751058513297,0.5277485755753426,0.8195876189126826,0.941322214818265,0.8692814424678742,-18.75,0,Class Resampled,Multilabel
0.5096582466567607,0.8868251609707776,1.3848484848484848,0.5009860126495833,0.42710814954323306,0.49564501545768336,0.8247336872788368,0.8937940124108064,0.8550097167740497,-18.75,0,Label Resampled,Multiclass
0.6716196136701337,0.9348687469044081,1.1900452488687783,0.6345414405696483,0.4819462619560038,0.6384534422206478,0.9151293447287562,0.928624086265618,0.9205746588566317,-18.75,0,Label Resampled,Multilabel
0.6017830609212481,0.9135710747894997,1.3022388059701493,0.510544147490828,0.4184733915226487,0.5916501690812457,0.8618983554898483,0.9101669882476972,0.8825731237847015,-18.75,0,Adaptive Resampled,Multiclass
0.413075780089153,0.8665180782565627,1.3645569620253164,0.3347257992042994,0.35081707494590586,0.38808730886141307,0.7544311130861265,0.9232399220678924,0.8200724065646005,-18.75,0,Adaptive Resampled,Multilabel
0.7642857142857142,0.9473809523809524,1.3393939393939394,0.5706788346605521,0.7105645220120991,0.7196820631984328,0.8896349019979741,0.9731269164772542,0.9254581183498195,-15.625,0,No Resampling,Multiclass
0.8528571428571429,0.9707142857142858,1.1941747572815533,0.8148268624939728,0.7641945143181852,0.8161196452377055,0.940390022503007,0.9891240676363792,0.9636155705105423,-15.625,0,No Resampling,Multilabel
0.8228571428571428,0.965,1.185483870967742,0.7911101313371288,0.6290986161754358,0.7823934614668248,0.9623950268875947,0.9393661311658851,0.9498545417533119,-15.625,0,Class Resampled,Multiclass
