Class Accuracy,Label Accuracy,Mean Error,Class Recall,Class Precision,Class F1,Label Recall,Label Precision,Label F1,Resampling Scenario,Model
0.7244507323568575,0.9346149578339991,1.4237390516460284,0.561086829290647,0.6665971501960037,0.6207476361661827,0.8800772810744116,0.9655195313957553,0.9174903957095375,No Resampling,Multiclass
0.7708888149134487,0.9525077674212161,1.2437341082455504,0.7527580937935251,0.5912828546921435,0.6519517206491994,0.9145754625556779,0.9768397850155162,0.9431840402275725,No Resampling,Multilabel
0.7688914780292943,0.946224478473147,1.3961109110550953,0.7317944476616679,0.5289869218209848,0.6261780712887486,0.9178441249009079,0.9549065560534745,0.9354839677814658,Class Resampled,Multiclass
0.7375998668442078,0.9372642032845095,1.4345068189026324,0.717029176994217,0.5255146218460616,0.596066978385581,0.8841016682323907,0.9686741869711999,0.923347265939123,Class Resampled,Multilabel
0.7255326231691078,0.9283871504660453,1.5654942389326865,0.6892801247709575,0.5150737992491436,0.5961860255850057,0.8947629026906155,0.9392386015072942,0.9154961729428829,Label Resampled,Multiclass
0.7682256990679095,0.9485685752330226,1.3314183123877918,0.7317932707157763,0.5197835908793693,0.6159339509776962,0.9306254972527864,0.9487202684737682,0.9386789009457002,Label Resampled,Multilabel
0.7627330226364847,0.9425349533954727,1.4531743247983164,0.7400748275811141,0.5359150736511106,0.62160183263691,0.9121401716589168,0.9528855444526253,0.9313934484787261,Adaptive Resampled,Multiclass
0.6864181091877497,0.9253356635596982,1.4286093418259023,0.6722008584191046,0.4990170484948413,0.5491047695311222,0.8695366383601701,0.9651187263098109,0.9131683345363134,Adaptive Resampled,Multilabel
0.7262816245006658,0.9342127163781625,1.4420796594709637,0.5679351247902203,0.6795756822653944,0.6158422616494268,0.8804291483868828,0.964425257561997,0.9173973278618918,No Resampling,Multiclass
0.7635652463382158,0.9508155792276964,1.2481520591341078,0.7314484206779233,0.5892664463197278,0.65864102644227,0.9127496640472227,0.9752404518372298,0.9414072532913034,No Resampling,Multilabel
0.7697237017310253,0.9458083666222814,1.4119985543910372,0.7281335342205465,0.5251678978548802,0.6252237631296906,0.9174752292796784,0.9539377058718436,0.9348096677402861,Class Resampled,Multiclass
