Class Accuracy,Label Accuracy,Mean Error,Class Recall,Class Precision,Class F1,Label Recall,Label Precision,Label F1,Resampling Scenario,Model
0.8951398135818908,0.9715518197958278,1.6277777777777778,0.7338272107242003,0.9099076909054212,0.8211364790410574,0.9401285068598791,0.9921892465271606,0.9647650641426649,No Resampling,Multiclass
0.9387483355525965,0.9856025299600533,1.4103260869565217,0.9057780682683868,0.7452799409317888,0.8274881814710028,0.9901076880612253,0.974546290499417,0.9819487080651249,No Resampling,Multilabel
0.6978195739014648,0.9084415224145583,1.8179564858165795,0.604076280875029,0.7815770817050837,0.6391830218182171,0.8683688500888577,0.9360419278867241,0.8933298414371434,Class Resampled,Multiclass
0.9228528628495339,0.9790557035064359,1.62891046386192,0.9113210723171148,0.6904268266996256,0.8115928266316992,0.9580128818207053,0.9975201854085983,0.9773451470300452,Class Resampled,Multilabel
0.8957223701731025,0.9721621171770972,1.601755786113328,0.8651506037538503,0.7475439589423394,0.8045287328125766,0.9666163941527444,0.9690070677934708,0.9675560303520693,Label Resampled,Multiclass
0.9832723035952063,0.9967127163781625,1.1791044776119404,0.977388494919232,0.8797096653006773,0.9455986372608443,0.9980549086401006,0.9949170542251567,0.9964781245925852,Label Resampled,Multilabel
0.8772470039946738,0.9682645361739902,1.551186440677966,0.8280447800702039,0.7437695987243476,0.8022140936512404,0.9600851465142194,0.9734593988437245,0.9661174652039147,Adaptive Resampled,Multiclass
0.9856025299600533,0.997309143364403,1.1213872832369942,0.975016562078663,0.8442903307335979,0.9400862511450256,0.9964192413435954,0.9979542769820853,0.9971841814566575,Adaptive Resampled,Multilabel
0.8967210386151797,0.9723424323124723,1.6067687348912167,0.7463629279536784,0.9141863316457751,0.8336684073834163,0.9420161070114642,0.992374366838863,0.9659233942539238,No Resampling,Multiclass
0.9417443408788282,0.9863515312916112,1.4057142857142857,0.9132962701430943,0.7343462748045653,0.8290706156886934,0.99054113169258,0.975527642274992,0.9826688973097304,No Resampling,Multilabel
0.698818242343542,0.9107162671992899,1.778668140370268,0.6025933414189495,0.7911459394823936,0.6624643692610911,0.87618075641999,0.9360589096432016,0.8982305725795054,Class Resampled,Multiclass
0.9280126498002663,0.9807478916999556,1.6046242774566475,0.9223843745917252,0.708401737800268,0.8294846200029793,0.9618629619746694,0.997530248781184,0.9793557704514617,Class Resampled,Multilabel
0.8974700399467377,0.9730498224589437,1.5771103896103895,0.8621594039483622,0.7444160530850797,0.8099443375876328,0.9676258239426384,0.9706314418325573,0.9688886743279165,Label Resampled,Multiclass
0.9831058588548602,0.9966988459831336,1.1724137931034482,0.9789574241301315,0.8798110866253652,0.9451296200521684,0.9979848395109828,0.9948781195923678,0.9964236806879115,Label Resampled,Multilabel
0.878994673768309,0.969207723035952,1.5268225584594224,0.8060735699003302,0.742609360942697,0.802075696474286,0.9626134372700322,0.9739976199947628,0.9677930553460953,Adaptive Resampled,Multiclass
0.9848535286284953,0.9971149578339991,1.1428571428571428,0.975085049983366,0.8435673165681774,0.9391088958648555,0.9959236163293504,0.9978907310514269,0.996904229614278,Adaptive Resampled,Multilabel
0.8951398135818908,0.9720372836218375,1.6,0.7457207867283406,0.9021793070747529,0.827452004581575,0.9413051665265098,0.9921368862476051,0.9653678210020201,No Resampling,Multiclass
0.9379161118508655,0.9857967154904572,1.3726541554959786,0.8907908806426358,0.7419033607452605,0.8395099181002971,0.9898505779315308,0.9749990322236136,0.9820484308763527,No Resampling,Multilabel
0.6956557922769641,0.9095511540168664,1.783155592015313,0.629062332489289,0.8040844959745409,0.6647376870138141,0.8714252449370194,0.9365687748690975,0.8953812251252162,Class Resampled,Multiclass
0.9308422103861518,0.9813998002663116,1.6137184115523466,0.8994621424348449,0.7102051212423491,0.8314741656030209,0.9627340866500816,0.9976476200270454,0.9798635014946656,Class Resampled,Multilabel
0.9017143808255659,0.9740901020861075,1.5817104149026249,0.8903700046643053,0.7117071678449429,0.8079419723117635,0.969346495498121,0.970854434387629,0.969885069617861,Label Resampled,Multiclass
0.9835219707057257,0.996754327563249,1.1818181818181819,0.9770748915076309,0.8814044185469143,0.9464228041944859,0.9980761319517861,0.9949345685879639,0.9964975751901245,Label Resampled,Multilabel
0.8801597869507324,0.9697070572569907,1.5166666666666666,0.8273852319247421,0.7797921672398558,0.8120001684658109,0.9620545845266638,0.9747414514714002,0.9678272659569788,Adaptive Resampled,Multiclass
0.9856025299600533,0.9972397913892588,1.1502890173410405,0.956648686538386,0.8396199359988462,0.9441396198850003,0.9962893104294773,0.9979753113649513,0.9971295475739875,Adaptive Resampled,Multilabel
