One-to-one map	Calders1986, Nitta1989, Mennens1993, Mennens1994, Hermida1996, Oyama1997, NgChakman1999, Wong2004, Mihara2005, Al_SalmanAl_Rajih2007, Tanaka2007, Zhang2007, LiYanZhang2010, Al_Shamma2011, Zaghloul2011, Sivasamy2013, Taha2014, Kumar2014, Al_Salman2014, Subur2015, Parvathi2015, Sugirtha2018, Kaur2020, Kamal2020, Al_Salman2021, Roque2022, Al_Salman2024
Context-based	Hentzschel1995, Murray2006, Al_Salman_Mubser2007, YinWangLi2010, Nian_Feng2011, Hassen2012, Srinath2013, DeSilva2018, Shreekanth2018, Perera2018, Ibrahim2018, Shao2022 
None	Yoshida2000, Gomez2001, Morgavi2002, Falcon2005, Namba2006, Al_Salman2007, Tai2008, Fahiem2008, Al_Saleh2008, Al_Saleh2011, Al_Salman2012, LiZengXu2014, Iqbal2017, Smelyakov2018, Li2018, Murthy2018, LiLiu2019, Pandian2020, Revelli2022, Murthy2022, Waleed2023
Error correction	Calders1986, NgChakman1999, Morgavi2002, Antonacopoulos2004, Al_SalmanAl_Rajih2007, Tai2010, Al_Shamma2011, Shimomura2018, Smelyakov2018, Li2018, Goncalves2020, Shao2022
