Model Type,Training,Evaluation,Label,Character Accuracy,Dot Accuracy,Dot Recall,Dot Precision,Dot F1,Hamming Distance,Missclassification HD,Character Recall,Character Precision,Character F1
Multi-label,Class-balance,ID Test,1,0.9873499837820305,0.9976213644718348,0.9971424420012592,0.998593393801232,0.9978673904614191,0.014271813168991242,1.1282051282051282,0.9861988071179151,0.7519489704445553,0.9814839818094117
Multi-label,Class-balance,ID Test,2,0.9863731656184487,0.9973794549266247,0.9965905657934487,0.9988753352366122,0.9977316425068591,0.015723270440251572,1.1538461538461537,0.9814295020890825,0.59647979817148,0.9538236285207563
Multi-label,Class-balance,ID Test,3,0.9827706230421163,0.996606334841629,0.9958163114633066,0.9984208448480063,0.9971168773563984,0.020361990950226245,1.1818181818181819,0.9796090735729509,0.552734089524089,0.9382440750561195
Multi-label,Class-balance,ID Test,4,0.9856002504304273,0.9971565711900663,0.9965991084149087,0.9983885819521179,0.9974930426182754,0.01706057285960244,1.184782608695652,0.982014205103446,0.6537619977765768,0.9461485595815649
Multi-label,Class-balance,ID Test,5,0.9811730629978277,0.9959570359642771,0.9946648559511106,0.9988310929281122,0.9967436208991495,0.024257784214337438,1.2884615384615385,0.9889341704876943,0.6156111095344206,0.961935407099741
Multi-class,Class-balance,OOD Test,0,0.967372900745893,0.9941655607925686,0.9988715799346396,0.9900069718800837,0.9944195207353101,0.03500663524458884,1.0729312762973353,0.9653272696308483,0.7167494125566558,0.9501957924369593
Multi-class,Class-balance,OOD Test,1,0.9595233763871203,0.9926929840519071,0.9986369212594848,0.986918321833231,0.9927430403950677,0.043842095688557396,1.0831460674157303,0.9625288759209609,0.8025054673654091,0.9418072724213689
Multi-class,Class-balance,OOD Test,2,0.9547699506108656,0.991716489039078,0.9991240187325224,0.9849868801275451,0.9920050846323677,0.049701065765531585,1.0988505747126436,0.9641621776839335,0.7859070395353193,0.946153484206192
Multi-class,Class-balance,OOD Test,3,0.9739388607873323,0.9953265889597537,0.9987905664180609,0.992687568867074,0.9957297161517206,0.028040466241477897,1.0759493670886076,0.9550250493630321,0.7285324658686102,0.9514470458225286
Multi-class,Class-balance,OOD Test,4,0.936869918699187,0.9886246612466124,0.99914545229005,0.978180493334053,0.9885518304116295,0.0682520325203252,1.0811332904056665,0.9564474833684249,0.6500121224967274,0.9232306558216365
Multi-class,Class-balance,OOD Test,5,0.9589614225066142,0.9925962386431223,0.9982539801742265,0.9883085501858736,0.9932563700216693,0.04442256814126623,1.0824587706146926,0.9433069064768428,0.6047401569531549,0.9313847618895575
Multi-label,Class-balance,OOD Test,0,0.9873243948199332,0.9977119846245367,0.9995017365945161,0.9961150301596343,0.9978055096338128,0.013728092252779938,1.0830324909747293,0.9874391169878202,0.849095243252781,0.9845205003976495
Multi-label,Class-balance,OOD Test,1,0.9886756412588684,0.9979913286034807,0.999485059142472,0.9965118386083595,0.9979962344330099,0.012052028379115882,1.0642570281124497,0.9884309635261312,0.8990112267693369,0.9857883997464997
Multi-label,Class-balance,OOD Test,2,0.9837275799324149,0.9970279871761546,0.9994272430174186,0.9948186528497409,0.9971176228371668,0.017832076943072525,1.095846645367412,0.9851225912880912,0.8480363348384291,0.9827098800429497
Multi-label,Class-balance,OOD Test,3,0.9885638882779855,0.9979473645627154,0.9993448901431163,0.9969000301618687,0.9981209630064591,0.01231581262370794,1.0769230769230769,0.9729777236652299,0.7747711890069073,0.9706538490404721
Multi-label,Class-balance,OOD Test,4,0.9713821138211383,0.9948780487804878,0.9995313770622855,0.9901421335044579,0.994814601423927,0.03073170731707317,1.0738636363636365,0.9823020130060809,0.8466654961573926,0.9636165630574972
Multi-label,Class-balance,OOD Test,5,0.988186796283763,0.9979183330256978,0.9993616701712226,0.9968351467255941,0.9980968095778292,0.01249000184581308,1.0572916666666667,0.9724116121377129,0.6291391629558413,0.9665247419810343
Multi-class,Label-correlation,ID Test,0,0.9824270979243601,0.9964557069485123,0.9974686858988348,0.9952534401672183,0.9963598317239576,0.021265758308926526,1.210144927536232,0.9504058812503735,0.6945141891963527,0.9744403803807463
Multi-class,Label-correlation,ID Test,1,0.9845929289652935,0.996540166504487,0.9957863127815179,0.9980098053492549,0.9968968192397206,0.02075900097307817,1.3473684210526315,0.947360587868453,0.8078631648565624,0.9771207720208779
Multi-class,Label-correlation,ID Test,2,0.981581311769991,0.9965808126185485,0.9971947693237236,0.9968936060056951,0.9970441649226521,0.020515124288709195,1.113821138211382,0.9798094665711562,0.6566792115344626,0.9540291711038354
Multi-class,Label-correlation,ID Test,3,0.982944657152802,0.996200255250029,0.9951764532165182,0.9983705313055501,0.9967709334713699,0.022798468499825964,1.336734693877551,0.9429567563306057,0.6369768565613941,0.9471524767075662
Multi-class,Label-correlation,ID Test,4,0.9763656284238535,0.9950957374654353,0.9956339905326531,0.9957255136277979,0.9956797499770199,0.029425575207387696,1.2450331125827814,0.9426130015419696,0.656196185112697,0.9521664958709036
Multi-class,Label-correlation,ID Test,5,0.9775524981897176,0.9943881245474294,0.9928218061887671,0.9981470645601717,0.9954773136215533,0.03367125271542361,1.5,0.9456240292273846,0.6766195859026072,0.946432970751458
Multi-label,Label-correlation,ID Test,0,0.9833184770151534,0.9967316100004244,0.9982979094836992,0.9949976075514376,0.9966450263605072,0.019610339997453204,1.1755725190839694,0.9815026377557088,0.6912782176104633,0.963197616292544
Multi-label,Label-correlation,ID Test,1,0.9855660071359066,0.9973780949291815,0.998111105729646,0.9971934578534791,0.9976520707767532,0.015731430424910802,1.0898876404494382,0.9854911859229083,0.8387153049010679,0.9815512950372006
Multi-label,Label-correlation,ID Test,2,0.9881701108116202,0.9978286912249177,0.9983600189892539,0.997886291087913,0.9981230988285549,0.01302785265049416,1.1012658227848102,0.9903641260013691,0.7254705809867328,0.9544717838299877
Multi-label,Label-correlation,ID Test,3,0.9834667594848591,0.9968093746374289,0.9976374464733967,0.9969504697260342,0.9972938397953159,0.019143752175426385,1.1578947368421053,0.9736477668385856,0.6719028069999922,0.9431315770281761
Multi-label,Label-correlation,ID Test,4,0.9818437940209735,0.9964783221161371,0.9978859322579162,0.9959178057058985,0.9969008975918826,0.021130067303177336,1.1637931034482758,0.9812154393909734,0.7199752549234829,0.9581255256295192
Multi-label,Label-correlation,ID Test,5,0.9837074583635047,0.9968621771663047,0.9970899214278786,0.9978642850208718,0.9974769529354682,0.01882693700217234,1.1555555555555554,0.9870387641454256,0.8035245862519811,0.9627940547581423
Multi-class,Label-correlation,OOD Test,0,0.9542396924907336,0.9914809560853582,0.9924527748875244,0.991189040454306,0.9918205051222531,0.051114263487850635,1.117,0.9378572153607905,0.6518370118459508,0.9273977123451911
Multi-class,Label-correlation,OOD Test,1,0.9475168273603783,0.9905630343823904,0.9899435079588653,0.9911894941162198,0.9905661092209651,0.05662179370565763,1.0788561525129983,0.94064951509897,0.788264008287357,0.9282458014832541
Multi-class,Label-correlation,OOD Test,2,0.8917598128411749,0.9769604020448834,0.9926215424008625,0.963676506664486,0.977934891749027,0.13823758773069925,1.2771373679154658,0.9256029309742599,0.5878457723608522,0.897229525141582
Multi-class,Label-correlation,OOD Test,3,0.9109302837035408,0.9824426361703688,0.9888631324329772,0.9791590432786668,0.9839871629866115,0.10534418297778755,1.182716049382716,0.9083957313217936,0.6172878300542387,0.8776138364756185
Multi-class,Label-correlation,OOD Test,4,0.9230081300813008,0.9829742547425474,0.9912064284040633,0.9745900528526901,0.9828280136391901,0.10215447154471545,1.3268215417106652,0.9256647450699249,0.6538142651867223,0.8932001118265742
Multi-class,Label-correlation,OOD Test,5,0.929797575832154,0.9870793084353657,0.9870832081706218,0.9892376006623015,0.9881592301620119,0.07752414938780533,1.1042944785276074,0.9155547998495221,0.5675265868377913,0.9072663977849599
Multi-label,Label-correlation,OOD Test,0,0.9633459936850776,0.9932656080782196,0.9991353664434252,0.9880583171502275,0.993565968857249,0.04040635153068228,1.1023720349563046,0.9653440028364704,0.7936888100588553,0.9521981425725756
Multi-label,Label-correlation,OOD Test,1,0.9728033472803347,0.9951640288642289,0.9988792463689097,0.9915209645654495,0.9951865041042975,0.02901582681462616,1.0668896321070234,0.9765332907292328,0.9280801966234776,0.9661906811943741
Multi-label,Label-correlation,OOD Test,2,0.9470236547959449,0.9901308378823326,0.9989387150028638,0.9821780538302277,0.9904874850714482,0.059214972706004676,1.1177625122669284,0.9587897832003205,0.7860549789939112,0.9437051847730431
Multi-label,Label-correlation,OOD Test,3,0.9498570486034749,0.9908089582875156,0.9983370288248337,0.9850174851252134,0.9916325321809643,0.05514625027490653,1.099780701754386,0.9344618139984336,0.6572810360527509,0.9097012896769203
Multi-label,Label-correlation,OOD Test,4,0.9259349593495935,0.9855487804878049,0.9986630463247557,0.9726682059818504,0.9854942364582271,0.08670731707317073,1.1706915477497255,0.9502751699293243,0.6227619502224845,0.9167285794800646
Multi-label,Label-correlation,OOD Test,5,0.9633298467975143,0.9933653274267314,0.998216431360769,0.9897246886692355,0.9939524232369025,0.03980803543961115,1.0855704697986577,0.9521378255463978,0.604594095165429,0.934530672829657
